alpha,logo_rmse,logo_pearson_r
10.0,0.010991273725259015,0.5984727883945508
100.0,0.011473301003718796,0.5355637164576634
1.0,0.019999789903832853,0.4639305799399912
0.1,0.04207739963836134,0.36208397865600905
0.01,0.05466854283604157,0.33481676413586986
