subset,predictor,outcome,n,spearman_rho,spearman_p,pearson_r,pearson_p
pooled,domain_auc_svd,delta_prauc,60,-0.6191937073435861,1.3354954142561161e-07,-0.6842561146393592,1.6665124586283344e-09
pooled,centroid_distance_svd,delta_prauc,60,-0.5609461052242031,3.1341694429003082e-06,-0.5883309508642127,7.676366165024538e-07
pooled,covariance_distance_svd,delta_prauc,60,-0.49084870439285366,6.840471591273769e-05,-0.5790236856872905,1.2561620727712927e-06
pooled,source_to_target_nn_distance,delta_prauc,60,-0.5006957202239242,4.6170158655340886e-05,-0.5393275184513526,8.735685460409159e-06
pooled,target_to_source_nn_distance,delta_prauc,60,-0.5569405394624117,3.8103999667086698e-06,-0.5315381591340271,1.2424506413833333e-05
pooled,source_internal_diversity,delta_prauc,60,0.5644128525880393,2.6411253818766855e-06,0.3617260448223395,0.004513804151281892
pooled,target_internal_diversity,delta_prauc,60,-0.3740197030072714,0.0032415140491288187,-0.2426468149129261,0.0617593479572915
pooled,diversity_ratio,delta_prauc,60,-0.4117387805974736,0.0010811527853992068,-0.41326647056711113,0.0010312974603994478
pooled,source_n,delta_prauc,60,-0.04449520047765493,0.7356832103075333,-0.33187861536718744,0.00958317112892923
pooled,target_n,delta_prauc,60,0.37109334567159175,0.003511364320053071,0.27372057978346054,0.03432540953355501
pooled,source_positive_rate_model,delta_prauc,60,-0.4398596835211328,0.00043718249818888044,-0.47281060388229373,0.00013634171954310503
pooled,target_positive_rate_model,delta_prauc,60,-0.5153262149128778,2.516629736966555e-05,-0.500323944543684,4.687082047487591e-05
pooled,source_prediction_entropy,delta_prauc,60,-0.4620655434218012,0.0002019767081266503,-0.505828504288111,3.743461517913469e-05
pooled,target_prediction_entropy,delta_prauc,60,-0.5440893493099976,7.012675286912683e-06,-0.5503004624397682,5.238649557951786e-06
pooled,entropy_shift,delta_prauc,60,-0.5505983936729086,5.1651112559280565e-06,-0.5375173372299656,9.488297363911579e-06
pooled,source_prediction_mean,delta_prauc,60,-0.4398596835211328,0.00043718249818888044,-0.4727115574551847,0.0001368446807342659
pooled,target_prediction_mean,delta_prauc,60,-0.5067040688666113,3.610680541986574e-05,-0.5124518181495874,2.8415398092160885e-05
pooled,prediction_mean_shift,delta_prauc,60,-0.5783035568586324,1.3041279887647132e-06,-0.5562138986439455,3.946796331415399e-06
pooled,source_prediction_sd,delta_prauc,60,-0.28024463040053954,0.03010060378795315,-0.21194267685375826,0.10401485505859273
pooled,target_prediction_sd,delta_prauc,60,-0.4963563573153168,5.49845269468798e-05,-0.45294699298350394,0.0002791145666242208
pooled,prediction_sd_shift,delta_prauc,60,-0.5382478992407185,9.177577487823019e-06,-0.5036278097544674,4.097380723162828e-05
pooled,source_only_auroc_mean,delta_prauc,60,-0.34397795979383594,0.007122793766138061,-0.3102360650092091,0.015848885959375423
pooled,source_only_prauc_mean,delta_prauc,60,-0.39922138759187553,0.0015787445100265327,-0.40170617587190766,0.0014661322825406072
pooled,source_only_brier_mean,delta_prauc,60,-0.2623645573973363,0.042852606289084494,-0.11107495395157588,0.3981651582543274
budget_20,domain_auc_svd,delta_prauc,20,-0.4812030075187969,0.03171104462446245,-0.5537802523196675,0.011299441355186188
budget_20,centroid_distance_svd,delta_prauc,20,-0.4120300751879699,0.07104721866412453,-0.45977202289564223,0.04138933232899238
budget_20,covariance_distance_svd,delta_prauc,20,-0.38947368421052625,0.08961904769837135,-0.37929157880530956,0.09908079689350055
budget_20,source_to_target_nn_distance,delta_prauc,20,-0.3804511278195489,0.09796803970591272,-0.3992465226076696,0.08117918612165508
budget_20,target_to_source_nn_distance,delta_prauc,20,-0.4857142857142857,0.029920782525592465,-0.45832700200320065,0.04211584657039049
budget_20,source_internal_diversity,delta_prauc,20,0.4723580627388133,0.03546364993281383,0.2594254362125291,0.2693641496676091
budget_20,target_internal_diversity,delta_prauc,20,-0.24060150375939846,0.3068610916782757,-0.2529034218598871,0.2820149074266136
budget_20,diversity_ratio,delta_prauc,20,-0.22406015037593985,0.3422863508112142,-0.356742297280408,0.12259111901109399
budget_20,source_n,delta_prauc,20,-0.1068070778804323,0.6540192242214086,-0.357269660064628,0.12199960276162408
budget_20,target_n,delta_prauc,20,0.16376611961212761,0.49025271607954646,0.05663038488183738,0.8125471255231397
budget_20,source_positive_rate_model,delta_prauc,20,-0.1880406300711836,0.4272442585927794,-0.31122023840017327,0.1816614017376919
budget_20,target_positive_rate_model,delta_prauc,20,-0.25423093185624024,0.2794106012415746,-0.363723214475122,0.11492528353814235
budget_20,source_prediction_entropy,delta_prauc,20,-0.3053779832356022,0.1904341615157756,-0.37603795595912765,0.10225228452011023
budget_20,target_prediction_entropy,delta_prauc,20,-0.3398496240601503,0.14263670537136694,-0.3683493809667645,0.1100388702402614
budget_20,entropy_shift,delta_prauc,20,-0.362406015037594,0.1163446491875469,-0.33442920352002237,0.14952924462894326
budget_20,source_prediction_mean,delta_prauc,20,-0.1880406300711836,0.4272442585927794,-0.31121325376263315,0.1816717233596103
budget_20,target_prediction_mean,delta_prauc,20,-0.2270676691729323,0.335674431013418,-0.36044223040747814,0.11848404141187453
budget_20,prediction_mean_shift,delta_prauc,20,-0.3984962406015037,0.08180541617403751,-0.44381334023373686,0.049971162825413445
budget_20,source_prediction_sd,delta_prauc,20,-0.04061677609537566,0.8649965615478222,0.02025245522452173,0.9324616647464234
budget_20,target_prediction_sd,delta_prauc,20,-0.2706766917293233,0.2483905691366973,-0.3106970566292924,0.18243563962461748
budget_20,prediction_sd_shift,delta_prauc,20,-0.4195488721804511,0.06554828518218499,-0.43416177090906394,0.05578496121078176
budget_20,source_only_auroc_mean,delta_prauc,20,-0.1413533834586466,0.552214438632242,-0.21954181620039837,0.3523615434013302
budget_20,source_only_prauc_mean,delta_prauc,20,-0.14586466165413534,0.5394664944297438,-0.2584999752454031,0.27113723276508717
budget_20,source_only_brier_mean,delta_prauc,20,-0.22255639097744356,0.34562063374685487,-0.030498374500270913,0.8984341344342528
budget_30,domain_auc_svd,delta_prauc,20,-0.7218045112781954,0.0003270659389347301,-0.7226504736664796,0.0003193187706958455
budget_30,centroid_distance_svd,delta_prauc,20,-0.6030075187969924,0.004886612315025843,-0.6121606851874639,0.004119678748290599
budget_30,covariance_distance_svd,delta_prauc,20,-0.593984962406015,0.005754247539586489,-0.6928988863585204,0.0007073842257320349
budget_30,source_to_target_nn_distance,delta_prauc,20,-0.5142857142857143,0.020346128286980614,-0.5368849093591169,0.014653880141922046
budget_30,target_to_source_nn_distance,delta_prauc,20,-0.5669172932330826,0.009146270047598541,-0.5881255381534978,0.0063827416527118454
budget_30,source_internal_diversity,delta_prauc,20,0.42421966144059026,0.0622975191072623,0.4123425497640617,0.07081203030176099
budget_30,target_internal_diversity,delta_prauc,20,-0.4015037593984962,0.07931658537453376,-0.3091130487154183,0.18479337248411626
budget_30,diversity_ratio,delta_prauc,20,-0.40451127819548865,0.07688442544807972,-0.48992363599280936,0.028322792766619
budget_30,source_n,delta_prauc,20,0.06919895186619557,0.7719018322647654,-0.33405306009212077,0.15001600064860013
budget_30,target_n,delta_prauc,20,0.40714076959126166,0.07480384194807714,0.2734655035066048,0.24335823093928807
budget_30,source_positive_rate_model,delta_prauc,20,-0.48740131314450796,0.029272058208308423,-0.4061499500965723,0.07558283641299349
budget_30,target_positive_rate_model,delta_prauc,20,-0.5513351273687103,0.011742172217524272,-0.4285479256787785,0.0593952494137292
budget_30,source_prediction_entropy,delta_prauc,20,-0.44076723688685443,0.051753489440934435,-0.496894396267802,0.025824848985046608
budget_30,target_prediction_entropy,delta_prauc,20,-0.5609022556390978,0.010086372424803433,-0.517369470255002,0.01947948259311664
budget_30,entropy_shift,delta_prauc,20,-0.5578947368421052,0.010585028447546956,-0.4909038555534795,0.027960492564935602
budget_30,source_prediction_mean,delta_prauc,20,-0.48740131314450796,0.029272058208308423,-0.4059338679667166,0.07575352283116674
budget_30,target_prediction_mean,delta_prauc,20,-0.5729323308270676,0.008278787429483691,-0.45797784275183095,0.04229286223148447
budget_30,prediction_mean_shift,delta_prauc,20,-0.5383458646616541,0.014335462396793609,-0.5379405885880513,0.014423229461482284
budget_30,source_prediction_sd,delta_prauc,20,-0.4227153364000208,0.06333090296001738,-0.18063339363826825,0.4459978245515959
budget_30,target_prediction_sd,delta_prauc,20,-0.6225563909774435,0.003372243843155669,-0.4529076633123747,0.044928618472085936
budget_30,prediction_sd_shift,delta_prauc,20,-0.5714285714285714,0.008489085694766705,-0.520341028766395,0.018672464123051916
budget_30,source_only_auroc_mean,delta_prauc,20,-0.41654135338345866,0.0677080032438911,-0.3133119406250711,0.17858822967180335
budget_30,source_only_prauc_mean,delta_prauc,20,-0.47218045112781953,0.035542393671931995,-0.35755675272115023,0.12167844340634433
budget_30,source_only_brier_mean,delta_prauc,20,-0.2571428571428572,0.27375050350001545,0.011843664814565235,0.9604750607531836
budget_50,domain_auc_svd,delta_prauc,20,-0.7007518796992479,0.0005786641020194404,-0.7738519719742464,6.249183038963362e-05
budget_50,centroid_distance_svd,delta_prauc,20,-0.6060150375939849,0.0046226146707220635,-0.6872607454894528,0.000814079728155361
budget_50,covariance_distance_svd,delta_prauc,20,-0.48872180451127817,0.0287720300549961,-0.6427903908768844,0.002237522499484867
budget_50,source_to_target_nn_distance,delta_prauc,20,-0.556390977443609,0.010841753245056892,-0.6715637436532332,0.001185319081294514
budget_50,target_to_source_nn_distance,delta_prauc,20,-0.5578947368421052,0.010585028447546956,-0.5525248401539762,0.011525033761023954
budget_50,source_internal_diversity,delta_prauc,20,0.7897706462989713,3.4504779739060056e-05,0.40463915410757667,0.07678225823162384
budget_50,target_internal_diversity,delta_prauc,20,-0.38195488721804516,0.09653857766782023,-0.17768318766247881,0.4535844855905715
budget_50,diversity_ratio,delta_prauc,20,-0.4812030075187969,0.03171104462446245,-0.39661204515105447,0.08339384876505554
budget_50,source_n,delta_prauc,20,-0.14892817901637742,0.5308872091691442,-0.32294483390422546,0.16489190307324117
budget_50,target_n,delta_prauc,20,0.4882656529176397,0.028943995337602668,0.4531860313507585,0.044780705946588485
budget_50,source_positive_rate_model,delta_prauc,20,-0.6649116679317053,0.001380943316696799,-0.6833713739073698,0.0008953569042081845
budget_50,target_positive_rate_model,delta_prauc,20,-0.7476495451630261,0.00015096546320871677,-0.6976746278725424,0.0006265083470408125
budget_50,source_prediction_entropy,delta_prauc,20,-0.6152689415929128,0.0038830995458908864,-0.6352608311982312,0.002615142018424381
budget_50,target_prediction_entropy,delta_prauc,20,-0.732330827067669,0.00024121635708852933,-0.7459594128347518,0.0001592277813393837
budget_50,entropy_shift,delta_prauc,20,-0.7593984962406014,0.00010303152627878633,-0.7627696623695033,9.197364209432536e-05
budget_50,source_prediction_mean,delta_prauc,20,-0.6649116679317053,0.001380943316696799,-0.6833140381737786,0.0008966044865881237
budget_50,target_prediction_mean,delta_prauc,20,-0.7338345864661654,0.0002306890933683326,-0.7049344892162704,0.0005186291109882942
budget_50,prediction_mean_shift,delta_prauc,20,-0.7789473684210525,5.194277584211622e-05,-0.6834525272352024,0.0008935935754298187
budget_50,source_prediction_sd,delta_prauc,20,-0.46784508761710486,0.037507046890319404,-0.4317796210370774,0.05729595831590804
budget_50,target_prediction_sd,delta_prauc,20,-0.6812030075187969,0.0009435725086737295,-0.5810924119602024,0.007210428563733968
budget_50,prediction_sd_shift,delta_prauc,20,-0.7097744360902255,0.0004558392343877837,-0.5604949134890393,0.010152771247855278
budget_50,source_only_auroc_mean,delta_prauc,20,-0.5639097744360902,0.009606971537576621,-0.3896736731354489,0.08944012223426645
budget_50,source_only_prauc_mean,delta_prauc,20,-0.631578947368421,0.0028182871655732483,-0.5727074555937647,0.008309962640359209
budget_50,source_only_brier_mean,delta_prauc,20,-0.30977443609022554,0.1838064324119103,-0.3008891555087859,0.19736508280594298
