strategy,metric,mean,median,ci_low,ci_high
always_random,prauc,0.5480881183890156,0.5393959505100588,0.4474626099570097,0.6503466821839778
always_random,auroc,0.6751741732178305,0.6667402080312688,0.6350278274847085,0.7182648141310012
always_random,brier,0.19402007282946565,0.1999204161267438,0.16818448412266213,0.2202052151897737
always_hybrid,prauc,0.5484592606091567,0.5345225260898001,0.44878503457032937,0.649379697869361
always_hybrid,auroc,0.6754969962432189,0.6677657660604508,0.6360418232443101,0.7183779765294965
always_hybrid,brier,0.1934740874693796,0.2001494227994089,0.16707771226056245,0.22036966685749237
selective_policy_v2,prauc,0.5504226074005968,0.5393959505100588,0.45034298705798687,0.6518270151451833
selective_policy_v2,auroc,0.6758578057940453,0.6677657660604508,0.635966045345579,0.7187261046784102
selective_policy_v2,brier,0.19360306915512054,0.2001494227994089,0.16749801607746603,0.21999617773165325
oracle_random_hybrid,prauc,0.5507306097243581,0.5393959505100588,0.4505922014580631,0.6520019692370191
oracle_random_hybrid,auroc,0.676489734504723,0.6677657660604508,0.6365907361707038,0.7195313544144151
oracle_random_hybrid,brier,0.19295448960273817,0.19986976778439905,0.16668561536708573,0.21972256186810984
