comparison,mean_delta,median_delta,ci_low,ci_high,fraction_policy_better,fraction_policy_equal
selective_policy_v2 - always_random,0.0023344890115811244,0.0,0.0005594877191663968,0.004371964264739184,0.4,0.45
selective_policy_v2 - always_hybrid,0.00196334679144001,0.0,0.0006027495246100707,0.0034247678545020212,0.4,0.55
