corank,ic_auroc,ic_prauc,B_auroc,B_prauc,B_egim,C_auroc,C_prauc,C_egim
0,0.893,0.801,0.823,0.513,0.79,0.703,0.157,0.35
1,0.898,0.809,0.801,0.468,0.7,0.668,0.157,0.3
2,0.895,0.805,0.864,0.43,0.78,0.691,0.19,0.35
3,0.896,0.809,0.8,0.343,0.65,0.695,0.189,0.34
5,0.898,0.809,0.803,0.318,0.63,0.692,0.189,0.35
8,0.895,0.804,0.859,0.477,0.85,0.678,0.16,0.3
12,0.894,0.805,0.821,0.428,0.72,0.671,0.134,0.27
20,0.896,0.806,0.811,0.314,0.5,0.68,0.127,0.24
30,0.894,0.803,0.808,0.322,0.52,0.68,0.132,0.24
