comparison,mean_delta,median_delta,ci_low,ci_high,fraction_policy_better
selective_policy - always_source,0.014283610614321856,0.01440619445166591,0.009673850597419341,0.01931844799091233,0.85
selective_policy - always_random,0.0035939413942777916,0.002762470343338652,0.0014151661250608552,0.006171841011111532,0.6
selective_policy - always_hybrid,0.0018088012994805502,0.0,-0.0005940563350582386,0.004305542719597356,0.3
