strategy,n_transfers,mean,median,ci_low,ci_high
always_source,20,0.5409796863800752,0.5268525609160976,0.44209886518166197,0.6436213907409531
always_random,20,0.5516693556001193,0.5484162839436872,0.4518466510340623,0.6543373596513348
always_hybrid,20,0.5534544956949164,0.5488519700186103,0.4553597804657324,0.6536471635167772
selective_policy,20,0.5552632969943969,0.5484162839436872,0.4570026682490101,0.6559824408860198
oracle,20,0.556294767241176,0.5521182881277064,0.4577401111889891,0.6573141818302661
