budget_n,n_transfers,n_clusters,mean_prauc_random,mean_prauc_hybrid,mean_prauc_policy,mean_prauc_oracle,mean_gain_vs_random,gain_vs_random_cluster_ci_low,gain_vs_random_cluster_ci_high,mean_gain_vs_hybrid,gain_vs_hybrid_cluster_ci_low,gain_vs_hybrid_cluster_ci_high,direction_accuracy,mean_regret,zero_regret_fraction,pearson_pred_obs,spearman_pred_obs
20,20,7,0.5480881183890156,0.5484592606091567,0.5482260055974382,0.5507306097243581,0.00013788720842254493,-0.0034329162299236373,0.0034415418180930115,-0.00023325501171856945,-0.002620217799480365,0.0005815770963550071,0.5,0.00250460412692004,0.5,0.37446623590030276,0.4060150375939849
30,20,7,0.5516693556001193,0.5534544956949164,0.5534544956949164,0.5561212634667166,0.0017851400947972412,-0.003966124738570118,0.009741917566191055,0.0,0.0,0.0,0.7,0.0026667677718002214,0.7,-0.8218165823018102,-0.7338345864661654
50,20,7,0.5576842767143839,0.5596829999896256,0.5596829999896256,0.5628730294535084,0.001998723275241718,-0.0037342547365963033,0.011716763591028027,0.0,0.0,0.0,0.6,0.0031900294638825878,0.6,0.15243532306987145,0.04360902255639097
