budget_n,cluster_id,transfer_id,source,target,species,drug,predicted_delta_prauc_hybrid_random,observed_delta_prauc_hybrid_random,selected_alpha,policy_choice,oracle_choice,prauc_random,prauc_hybrid,prauc_policy,prauc_oracle,policy_correct_direction,regret_prauc,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity
20,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftriaxone,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.0095599105822065,0.0109172853811356,1.0,hybrid,hybrid,0.3483973062266501,0.3593145916077858,0.3593145916077858,0.3593145916077858,True,0.0,0.9939924423604553,0.4444908499717712,0.6428219507555718,10.641363873344304,8.363616211754112
20,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ciprofloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.0095012378412492,0.0001148964418653,1.0,hybrid,hybrid,0.6824137353533398,0.6825286317952052,0.6825286317952052,0.6825286317952052,True,0.0,0.993189458525992,0.4327592849731445,0.6377758694086874,10.63365694876966,8.365212154038883
20,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,0.0092140519857053,-0.0004320398236363,1.0,hybrid,random,0.4232219465471963,0.42278990672356,0.42278990672356,0.4232219465471963,False,0.0004320398236363,0.9929772894990648,0.4493109285831451,0.6454129404702896,10.656523301617018,8.375323706943353
20,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Norfloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,0.0117286627053624,0.004544315835607,1.0,hybrid,hybrid,0.7039515236719883,0.7084958395075954,0.7084958395075954,0.7084958395075954,True,0.0,0.9940661314431748,0.535570502281189,0.8564721015107754,11.395111713422242,9.367816715631434
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,-0.0004790810790665,0.0104808711979213,100.0,random,hybrid,0.3090656710663437,0.3195465422642652,0.3090656710663437,0.3195465422642652,False,0.0104808711979214,0.9926792422484404,0.5369187593460083,0.7660956986186117,11.283856003002096,8.537282455761114
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,DRIAMS-A->DRIAMS-C|Proteus mirabilis|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,0.0034057032774525,-0.0009487299359429,100.0,hybrid,random,0.4340502572297253,0.4331015272937823,0.4331015272937823,0.4340502572297253,False,0.000948729935943,0.9853551912568306,0.3598484098911285,0.5053771404032915,11.119237328878516,9.592021888201351
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Clindamycin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.0014666270242412,0.009977915675868,1.0,hybrid,hybrid,0.2034089712674728,0.2133868869433408,0.2133868869433408,0.2133868869433408,True,0.0,0.9915280418506224,0.5557421445846558,0.6546996317663976,11.238172866781277,8.49693292089609
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Penicillin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,0.0019055941010084,0.0013080777207229,1.0,hybrid,hybrid,0.8908002092338115,0.8921082869545346,0.8921082869545346,0.8921082869545346,True,0.0,0.991449647116792,0.551287829875946,0.658242171622038,11.17401468487414,8.498923017721662
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,DRIAMS-B->DRIAMS-C|Staphylococcus aureus|Clindamycin,DRIAMS-B,DRIAMS-C,Staphylococcus aureus,Clindamycin,-0.0062953736910439,-0.0003546477656377,1.0,random,random,0.1462534329768609,0.1458987852112231,0.1462534329768609,0.1462534329768609,True,0.0,0.9922841958437064,0.5828742980957031,0.7033335002769913,11.805748193017369,10.475410621878744
30,DRIAMS-A->DRIAMS-B|Escherichia coli,DRIAMS-A->DRIAMS-B|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.0047711059122844,0.0074040083680383,100.0,hybrid,hybrid,0.5301756555410069,0.5375796639090452,0.5375796639090452,0.5375796639090452,True,0.0,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734
