method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
knn_100,combined,1.0,1.0,0.572032809921417,14.233207266750696,0.596423697379011,0.09515425510206131,0.08431119533593884,0.5999789544512578,738,41,0.05555555555555555
knn_200,confidence,0.2,0.2005420054200542,0.754302913239952,14.968510077950116,0.5172413793103448,0.07185185185185185,0.030973858745692816,0.12803237520220534,148,3,0.02027027027027027
knn_200,confidence,0.3,0.2994579945799458,0.7268229979545902,14.710452463022724,0.6483228511530398,0.06729632029311487,0.048034137944343504,2.2486573086758055,221,9,0.04072398190045249
knn_200,confidence,0.4,0.3997289972899729,0.7040943719496289,14.598755756491318,0.5933451118963486,0.07058112424795891,0.05070936081011247,1.3746120937829855,295,12,0.04067796610169491
knn_200,confidence,0.5,0.5,0.6842316239085465,14.617157132069917,0.5934157754010695,0.060893300924667104,0.056616061300882044,1.3494825527235634,369,17,0.04607046070460705
knn_200,confidence,0.6,0.6002710027100271,0.6656322521296674,14.556845520893553,0.5391012909632572,0.047886123043002854,0.05734275232394993,0.7664354327102232,443,19,0.04288939051918736
knn_200,confidence,0.7,0.7005420054200542,0.6474513448512538,14.480384073986077,0.528099173553719,0.051930165494016856,0.05984964428758062,0.5712552512750628,517,22,0.0425531914893617
knn_200,confidence,0.8,0.7994579945799458,0.6285495219631793,14.441516174263871,0.5329378068739772,0.04940983174007027,0.06375523094653776,0.5389516709738816,590,26,0.04406779661016949
knn_200,confidence,0.9,0.8997289972899729,0.607935782145649,14.432655589225064,0.5516995362584722,0.060825621423080595,0.06860484508735772,0.6288778375640557,664,31,0.046686746987951805
knn_200,confidence,1.0,1.0,0.577614059548178,14.547751709271255,0.6136753333100046,0.10229459299359295,0.0781579245037672,1.0484280869286793,738,41,0.05555555555555555
knn_200,support,0.2,0.2005420054200542,0.6047932188261784,9.930483539813276,0.575,0.07482858207532792,0.07349578998348513,0.8413728516915326,148,8,0.05405405405405406
knn_200,support,0.3,0.2994579945799458,0.5999486695739257,10.496544909347776,0.6132075471698113,0.068042193267297,0.0662878512489709,1.087912883194623,221,9,0.04072398190045249
knn_200,support,0.4,0.3997289972899729,0.5852748576151555,11.001571573984824,0.6423809523809524,0.12374500084100165,0.07321274893028687,1.348076540243225,295,15,0.05084745762711865
knn_200,support,0.5,0.5,0.5827864821583213,11.469427452475074,0.5964237967914439,0.10105039091010859,0.0718215110676641,1.0198637379281277,369,17,0.04607046070460705
knn_200,support,0.6,0.6002710027100271,0.5786901191357207,11.946354585899456,0.6055091487669053,0.10445001122428979,0.07688038180149563,1.030817207579776,443,24,0.05417607223476298
knn_200,support,0.7,0.7005420054200542,0.5789318863460647,12.434123328225525,0.6336071184120465,0.11682777540294166,0.07838222668513471,1.2647631439494489,517,30,0.058027079303675046
knn_200,support,0.8,0.7994579945799458,0.5761011590890192,12.945234039298558,0.6350579402644034,0.1138105267946377,0.07775215942055208,1.2733825790255886,590,33,0.05593220338983051
knn_200,support,0.9,0.8997289972899729,0.5762075669547243,13.558834443609399,0.6020518125781285,0.09543164641000927,0.07863817362500866,0.9506113034947999,664,37,0.05572289156626506
knn_200,support,1.0,1.0,0.5776140595481779,14.54775170927125,0.6136753333100046,0.10229459299359295,0.0781579245037672,1.0484280869286793,738,41,0.05555555555555555
knn_200,combined,0.2,0.2005420054200542,0.6957581658721228,10.74927436810893,0.6326291079812206,0.0772641311434415,0.051558502368153535,1.2807496051303515,148,6,0.04054054054054054
knn_200,combined,0.3,0.2994579945799458,0.6801138433838813,11.3443827908503,0.5140845070422535,0.04146637367207025,0.05170287003083878,0.05437271191397684,221,8,0.03619909502262444
knn_200,combined,0.4,0.3997289972899729,0.6674551900443629,11.856980787406533,0.5221445221445221,0.042058025505913296,0.04975698982754537,0.24216836772776384,295,9,0.030508474576271188
knn_200,combined,0.5,0.5,0.6541864628428755,12.332145522164135,0.5776659959758551,0.060619218100319346,0.056142717951742555,0.8301800390325466,369,14,0.037940379403794036
knn_200,combined,0.6,0.6002710027100271,0.6428920682707663,12.880654058187325,0.5607843137254902,0.05429686639803351,0.05979299767087386,0.6498234510925502,443,18,0.040632054176072234
knn_200,combined,0.7,0.7005420054200542,0.6283270024216854,13.255481010119736,0.5708248816768087,0.061637911022348724,0.06553246822285491,0.7036512067356077,517,24,0.04642166344294004
knn_200,combined,0.8,0.7994579945799458,0.6158328287248639,13.66446824091572,0.5660904931367565,0.06425731070889687,0.06805698523636095,0.6984346860588294,590,28,0.04745762711864407
knn_200,combined,0.9,0.8997289972899729,0.6004962430494891,14.039138789579095,0.607705237084218,0.10196914685776964,0.07324322470387476,1.166498135670837,664,36,0.05421686746987952
knn_200,combined,1.0,1.0,0.577614059548178,14.547751709271253,0.6136753333100046,0.10229459299359295,0.07815792450376718,1.0484280869286797,738,41,0.05555555555555555
