esik,uygunsuz,gereksiz_genis,uygunsuz_referans,mutlak_azalma,bagil_azalma,agirlikli_maliyet,referans_maliyet,site,kol,rep
0.05,0.028169014084507043,0.18309859154929578,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05563380281690141,0.2112676056338028,DRIAMS-B,ham,0
0.1,0.056338028169014086,0.09859154929577464,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.07112676056338028,0.2112676056338028,DRIAMS-B,ham,0
0.2,0.11267605633802817,0.028169014084507043,0.2112676056338028,0.09859154929577464,0.4666666666666666,0.11690140845070422,0.2112676056338028,DRIAMS-B,ham,0
0.05,0.056338028169014086,0.23943661971830985,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.09225352112676055,0.2112676056338028,DRIAMS-B,ham,1
0.1,0.08450704225352113,0.1267605633802817,0.2112676056338028,0.1267605633802817,0.6,0.10352112676056338,0.2112676056338028,DRIAMS-B,ham,1
0.2,0.14084507042253522,0.04225352112676056,0.2112676056338028,0.0704225352112676,0.3333333333333333,0.1471830985915493,0.2112676056338028,DRIAMS-B,ham,1
0.05,0.028169014084507043,0.2676056338028169,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.06830985915492957,0.2112676056338028,DRIAMS-B,ham,2
0.1,0.056338028169014086,0.11267605633802817,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.07323943661971831,0.2112676056338028,DRIAMS-B,ham,2
0.2,0.08450704225352113,0.028169014084507043,0.2112676056338028,0.1267605633802817,0.6,0.08873239436619718,0.2112676056338028,DRIAMS-B,ham,2
0.05,0.04225352112676056,0.2112676056338028,0.2112676056338028,0.16901408450704225,0.8,0.07394366197183098,0.2112676056338028,DRIAMS-B,ham,3
0.1,0.07042253521126761,0.1267605633802817,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.08943661971830986,0.2112676056338028,DRIAMS-B,ham,3
0.2,0.1267605633802817,0.07042253521126761,0.2112676056338028,0.08450704225352113,0.4,0.13732394366197181,0.2112676056338028,DRIAMS-B,ham,3
0.05,0.028169014084507043,0.2676056338028169,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.06830985915492957,0.2112676056338028,DRIAMS-B,ham,4
0.1,0.056338028169014086,0.1267605633802817,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.07535211267605633,0.2112676056338028,DRIAMS-B,ham,4
0.2,0.11267605633802817,0.04225352112676056,0.2112676056338028,0.09859154929577464,0.4666666666666666,0.11901408450704226,0.2112676056338028,DRIAMS-B,ham,4
0.05,0.04225352112676056,0.2535211267605634,0.2112676056338028,0.16901408450704225,0.8,0.08028169014084507,0.2112676056338028,DRIAMS-B,ham,5
0.1,0.056338028169014086,0.08450704225352113,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.06901408450704226,0.2112676056338028,DRIAMS-B,ham,5
0.2,0.08450704225352113,0.04225352112676056,0.2112676056338028,0.1267605633802817,0.6,0.09084507042253522,0.2112676056338028,DRIAMS-B,ham,5
0.05,0.04225352112676056,0.19718309859154928,0.2112676056338028,0.16901408450704225,0.8,0.07183098591549295,0.2112676056338028,DRIAMS-B,ham,6
0.1,0.07042253521126761,0.07042253521126761,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.08098591549295775,0.2112676056338028,DRIAMS-B,ham,6
0.2,0.09859154929577464,0.0,0.2112676056338028,0.11267605633802817,0.5333333333333333,0.09859154929577464,0.2112676056338028,DRIAMS-B,ham,6
0.05,0.028169014084507043,0.28169014084507044,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.07042253521126761,0.2112676056338028,DRIAMS-B,ham,7
0.1,0.04225352112676056,0.15492957746478872,0.2112676056338028,0.16901408450704225,0.8,0.06549295774647887,0.2112676056338028,DRIAMS-B,ham,7
0.2,0.1267605633802817,0.04225352112676056,0.2112676056338028,0.08450704225352113,0.4,0.13309859154929576,0.2112676056338028,DRIAMS-B,ham,7
0.05,0.04225352112676056,0.23943661971830985,0.2112676056338028,0.16901408450704225,0.8,0.07816901408450704,0.2112676056338028,DRIAMS-B,ham,8
0.1,0.056338028169014086,0.11267605633802817,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.07323943661971831,0.2112676056338028,DRIAMS-B,ham,8
0.2,0.11267605633802817,0.04225352112676056,0.2112676056338028,0.09859154929577464,0.4666666666666666,0.11901408450704226,0.2112676056338028,DRIAMS-B,ham,8
0.05,0.04225352112676056,0.30985915492957744,0.2112676056338028,0.16901408450704225,0.8,0.08873239436619718,0.2112676056338028,DRIAMS-B,ham,9
0.1,0.056338028169014086,0.18309859154929578,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.08380281690140845,0.2112676056338028,DRIAMS-B,ham,9
0.2,0.09859154929577464,0.07042253521126761,0.2112676056338028,0.11267605633802817,0.5333333333333333,0.10915492957746478,0.2112676056338028,DRIAMS-B,ham,9
0.05,0.014084507042253521,0.5070422535211268,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.09014084507042253,0.2112676056338028,DRIAMS-B,kalibre,0
0.1,0.028169014084507043,0.323943661971831,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.07676056338028169,0.2112676056338028,DRIAMS-B,kalibre,0
0.2,0.056338028169014086,0.16901408450704225,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.08169014084507042,0.2112676056338028,DRIAMS-B,kalibre,0
0.05,0.014084507042253521,0.5070422535211268,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.09014084507042253,0.2112676056338028,DRIAMS-B,kalibre,1
0.1,0.04225352112676056,0.352112676056338,0.2112676056338028,0.16901408450704225,0.8,0.09507042253521125,0.2112676056338028,DRIAMS-B,kalibre,1
0.2,0.07042253521126761,0.16901408450704225,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.09577464788732394,0.2112676056338028,DRIAMS-B,kalibre,1
0.05,0.014084507042253521,0.6056338028169014,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.10492957746478872,0.2112676056338028,DRIAMS-B,kalibre,2
0.1,0.014084507042253521,0.4647887323943662,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.08380281690140844,0.2112676056338028,DRIAMS-B,kalibre,2
0.2,0.04225352112676056,0.2112676056338028,0.2112676056338028,0.16901408450704225,0.8,0.07394366197183098,0.2112676056338028,DRIAMS-B,kalibre,2
0.05,0.014084507042253521,0.39436619718309857,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.0732394366197183,0.2112676056338028,DRIAMS-B,kalibre,3
0.1,0.028169014084507043,0.29577464788732394,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.07253521126760563,0.2112676056338028,DRIAMS-B,kalibre,3
0.2,0.056338028169014086,0.19718309859154928,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.08591549295774648,0.2112676056338028,DRIAMS-B,kalibre,3
0.05,0.0,0.647887323943662,0.2112676056338028,0.2112676056338028,1.0,0.09718309859154929,0.2112676056338028,DRIAMS-B,kalibre,4
0.1,0.028169014084507043,0.4225352112676056,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.09154929577464789,0.2112676056338028,DRIAMS-B,kalibre,4
0.2,0.028169014084507043,0.2112676056338028,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05985915492957747,0.2112676056338028,DRIAMS-B,kalibre,4
0.05,0.0,0.647887323943662,0.2112676056338028,0.2112676056338028,1.0,0.09718309859154929,0.2112676056338028,DRIAMS-B,kalibre,5
0.1,0.014084507042253521,0.4225352112676056,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.07746478873239436,0.2112676056338028,DRIAMS-B,kalibre,5
0.2,0.04225352112676056,0.19718309859154928,0.2112676056338028,0.16901408450704225,0.8,0.07183098591549295,0.2112676056338028,DRIAMS-B,kalibre,5
0.05,0.014084507042253521,0.6056338028169014,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.10492957746478872,0.2112676056338028,DRIAMS-B,kalibre,6
0.1,0.014084507042253521,0.38028169014084506,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.07112676056338027,0.2112676056338028,DRIAMS-B,kalibre,6
0.2,0.056338028169014086,0.15492957746478872,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.0795774647887324,0.2112676056338028,DRIAMS-B,kalibre,6
0.05,0.0,0.5774647887323944,0.2112676056338028,0.2112676056338028,1.0,0.08661971830985915,0.2112676056338028,DRIAMS-B,kalibre,7
0.1,0.014084507042253521,0.4225352112676056,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.07746478873239436,0.2112676056338028,DRIAMS-B,kalibre,7
0.2,0.04225352112676056,0.19718309859154928,0.2112676056338028,0.16901408450704225,0.8,0.07183098591549295,0.2112676056338028,DRIAMS-B,kalibre,7
