site,kol,esik,net_fayda
DRIAMS-D,hepsi,0.32,-0.32456
DRIAMS-D,hepsi,0.33,-0.34433
DRIAMS-D,hepsi,0.34,-0.3647
DRIAMS-D,hepsi,0.35,-0.3857
DRIAMS-D,hepsi,0.36,-0.40735
DRIAMS-D,hepsi,0.37,-0.42969
DRIAMS-D,hepsi,0.38,-0.45275
DRIAMS-D,hepsi,0.39,-0.47656
DRIAMS-D,hepsi,0.4,-0.50117
DRIAMS-D,hepsi,0.41,-0.52661
DRIAMS-D,hepsi,0.42,-0.55293
DRIAMS-D,hepsi,0.43,-0.58018
DRIAMS-D,hepsi,0.44,-0.6084
DRIAMS-D,hepsi,0.45,-0.63764
DRIAMS-D,hepsi,0.46,-0.66797
DRIAMS-D,hepsi,0.47,-0.69944
DRIAMS-D,hepsi,0.48,-0.73212
DRIAMS-D,hepsi,0.49,-0.76608
DRIAMS-D,hepsi,0.5,-0.8014
