comparison,mean_delta,median_delta,ci_low,ci_high,fraction_policy_better,fraction_policy_equal
selective_policy_v2 - always_random,0.003653345140658902,0.0014897598575374094,0.001680975228282788,0.006088077684571212,0.55,0.45
selective_policy_v2 - always_hybrid,0.0018682050458616608,0.0,-0.00037384460198698307,0.004277452558556693,0.3,0.55
