predictor,outcome,n,spearman_rho,spearman_ci_low,spearman_ci_high,spearman_p,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,abs_rho
domain_auc_svd,mean_delta_prauc,20,-0.7834586466165413,-0.902956785443518,-0.4992271646424773,4.39222739469212e-05,-0.8576399175923,-0.9507776064623992,-0.6869635151369983,1.344629680204913e-06,0.7834586466165413
source_internal_diversity,mean_delta_prauc,20,0.7092892566285046,0.3434422749295897,0.9014404852160728,0.0004618268996649,0.4533838845355856,0.1737954850752119,0.8555998370976708,0.044675803641243,0.7092892566285046
centroid_distance_svd,mean_delta_prauc,20,-0.6556390977443608,-0.8404285610429894,-0.2776733348843511,0.0016983661049514,-0.7374082560915404,-0.8675500939027913,-0.5428811424811395,0.0002072340072996,0.6556390977443608
covariance_distance_svd,mean_delta_prauc,20,-0.6180451127819548,-0.8035326912331061,-0.2439301677898502,0.0036814188568596,-0.7257426210046657,-0.895029557613459,-0.4301308463371995,0.0002923175417953,0.6180451127819548
source_to_target_nn_distance,mean_delta_prauc,20,-0.593984962406015,-0.8012217794715565,-0.1606786021067863,0.0057542475395864,-0.6759878334790864,-0.8370870208299528,-0.4620606281562984,0.0010685871539124,0.593984962406015
source_only_auroc_mean,mean_delta_prauc,20,-0.5112781954887218,-0.7600668591003147,-0.1161687168956948,0.0212206441332247,-0.3888468477463172,-0.6883490653993163,-0.0696504272168111,0.0901815690966835,0.5112781954887218
