source,target,species,drug,budget_n,metric,n_pairs,hybrid_mean,random_mean,delta_mean,delta_ci_low,delta_ci_high,significant
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,50,prauc,50,0.8141756599875434,0.8173271707840132,-0.0031515107964697,-0.0106049744661919,0.0041356937888785,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,50,brier,50,0.2296462671933941,0.2320101829794297,-0.0023639157860355,-0.0057797122061071,0.0011690809620283,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,50,selected_pos,50,23.78,29.76,-5.98,-6.96,-5.06,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,20,auroc,50,0.9226409996622762,0.9184262073623776,0.0042147922998986,0.0015195879770347,0.0071870989530563,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,20,prauc,50,0.9225411633409134,0.9195687269094996,0.0029724364314139,-0.0008934652395921,0.0070352731459295,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,20,brier,50,0.0986220880928833,0.1100439236694365,-0.0114218355765531,-0.0145193678731403,-0.0084816129172128,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,20,selected_pos,50,4.5,7.86,-3.36,-4.02,-2.68,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,30,auroc,50,0.92322863897332,0.9205403579871664,0.0026882809861533,0.0001823708206686,0.0051941911516379,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,30,prauc,50,0.9242487209557138,0.9207034138628456,0.0035453070928681,0.0005220599074257,0.0065032230453899,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,30,brier,50,0.0963824485397809,0.1070222178677533,-0.0106397693279724,-0.0139208976225953,-0.007295839363882,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,30,selected_pos,50,7.4,12.94,-5.54,-6.3,-4.8,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,50,auroc,50,0.9257480580884836,0.92306653157717,0.0026815265113137,-2.0432286389714336e-05,0.0054170888213441,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,50,prauc,50,0.9238639023007076,0.9214243650982448,0.0024395372024628,-0.0015788544776203,0.0068228374928173,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,50,brier,50,0.0956818100077581,0.1025352552477011,-0.0068534452399429,-0.010009968368921,-0.0039415497267083,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,50,selected_pos,50,13.66,21.52,-7.86,-8.78,-6.96,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,20,auroc,50,0.676197027316819,0.6832056026535193,-0.0070085753367003,-0.0169270985524891,0.0029786901129349,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,20,prauc,50,0.621240253061098,0.630054685366843,-0.008814432305745,-0.0223006425746427,0.005068585233674,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,20,brier,50,0.2316180720441717,0.232711456100189,-0.0010933840560173,-0.0062604326771804,0.0043593730864472,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,20,selected_pos,50,6.94,8.82,-1.88,-2.52,-1.22,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,30,auroc,50,0.690460898669232,0.6881548596079845,0.0023060390612474,-0.0063838192189754,0.0110080256934423,False
