rep,strategy,budget_n,selected_pos,selected_pos_rate,auroc,prauc,brier,slope,n,positives,prevalence
0,source_only,0,0,0.0,0.6663929939792009,0.11675772051539363,0.06416335167694102,0.26620783038437384,369,21,0.056910569105691054
0,random,10,1,0.1,0.6265736179529283,0.10376386829602222,0.06221687505529867,0.21068801210131125,369,21,0.056910569105691054
0,kennard_stone,10,1,0.1,0.6325944170771757,0.12881642043885308,0.061258811237555146,0.23187351771738157,369,21,0.056910569105691054
0,uncertainty,10,1,0.1,0.6440886699507389,0.13154625667321843,0.06065593491228089,0.2689639669283578,369,21,0.056910569105691054
0,domain_distance,10,1,0.1,0.6325944170771757,0.1315993839518351,0.06069314277429694,0.23702229701864277,369,21,0.056910569105691054
0,hybrid,10,3,0.3,0.6637931034482758,0.15445898408531106,0.060015487364180664,0.28552139893337436,369,21,0.056910569105691054
0,random,20,1,0.05,0.6063218390804598,0.10680701845997694,0.061441140112603876,0.19270342742832391,369,21,0.056910569105691054
0,kennard_stone,20,1,0.05,0.6357416529830323,0.12738064176472158,0.060181265193196616,0.2525041939074925,369,21,0.056910569105691054
0,uncertainty,20,1,0.05,0.5967432950191571,0.11142669480269848,0.06174104698397507,0.19903774472104593,369,21,0.056910569105691054
0,domain_distance,20,1,0.05,0.6733716475095786,0.13645180677752944,0.059693837044633546,0.29749033818970344,369,21,0.056910569105691054
0,hybrid,20,4,0.2,0.6592775041050902,0.15073980852847305,0.05681916833244935,0.3029858960280268,369,21,0.056910569105691054
0,random,30,4,0.13333333333333333,0.6142583470169677,0.17230775197087728,0.0580665384533556,0.24983402424239612,369,21,0.056910569105691054
0,kennard_stone,30,2,0.06666666666666667,0.642446633825944,0.14540961772678618,0.056706192302194175,0.2695016644298863,369,21,0.056910569105691054
0,uncertainty,30,1,0.03333333333333333,0.6246579091406677,0.13689830277303142,0.06062491840932856,0.24173074071892967,369,21,0.056910569105691054
0,domain_distance,30,2,0.06666666666666667,0.6282156540777231,0.13405648318042457,0.05774033648769156,0.24938068660937068,369,21,0.056910569105691054
0,hybrid,30,5,0.16666666666666666,0.6642036124794745,0.14692261779662735,0.05587915641341759,0.30851394044250396,369,21,0.056910569105691054
0,random,50,2,0.04,0.6223316912972086,0.11660945098651176,0.059783328618957986,0.22874427806279535,369,21,0.056910569105691054
0,kennard_stone,50,5,0.1,0.6107006020799124,0.12492261422928098,0.05870252818783849,0.22361326871268913,369,21,0.056910569105691054
0,uncertainty,50,1,0.02,0.6736453201970443,0.13255239560137627,0.05900043500266325,0.2928918645460586,369,21,0.056910569105691054
0,domain_distance,50,4,0.08,0.6406677613574165,0.1398082897430457,0.05775712139712308,0.26989420843309875,369,21,0.056910569105691054
0,hybrid,50,6,0.12,0.6579091406677613,0.15864150530916402,0.05497665526375249,0.32981223961839645,369,21,0.056910569105691054
0,random,75,4,0.05333333333333334,0.6377941981390256,0.13702505442345558,0.058126569796220336,0.25471901237008554,369,21,0.056910569105691054
0,kennard_stone,75,6,0.08,0.6580459770114943,0.15134840206079564,0.05784944730709058,0.27801672197178007,369,21,0.056910569105691054
0,uncertainty,75,1,0.013333333333333334,0.6520251778872468,0.13063956845376395,0.05754557428873925,0.2923149534544542,369,21,0.056910569105691054
0,domain_distance,75,5,0.06666666666666667,0.6528461959496442,0.14146834728610613,0.059025348294525215,0.2648534095832345,369,21,0.056910569105691054
0,hybrid,75,9,0.12,0.6588669950738917,0.19173772461225938,0.0553435315697665,0.32010998728619905,369,21,0.056910569105691054
0,random,100,5,0.05,0.6420361247947455,0.16784517517918335,0.05509975264548664,0.2946289291309592,369,21,0.056910569105691054
0,kennard_stone,100,8,0.08,0.6469622331691297,0.11699405242432165,0.06056763398912371,0.24508297727960288,369,21,0.056910569105691054
0,uncertainty,100,1,0.01,0.6607827038861521,0.14212692209840666,0.05776806567685874,0.27291128890975375,369,21,0.056910569105691054
0,domain_distance,100,7,0.07,0.6383415435139573,0.1296911934704538,0.059716826301676615,0.24328282554919395,369,21,0.056910569105691054
0,hybrid,100,11,0.11,0.6655719759168035,0.16097145510098945,0.05394089142430604,0.33652081408602136,369,21,0.056910569105691054
1,source_only,0,0,0.0,0.636152162014231,0.1403547416386408,0.05877274411200296,0.2696957509639076,369,21,0.056910569105691054
1,random,10,0,0.0,0.668856048166393,0.17423850239389368,0.05504561442130373,0.33084107693863307,369,21,0.056910569105691054
1,kennard_stone,10,0,0.0,0.6758347016967706,0.18187124939418414,0.05542894234021692,0.3513784179857908,369,21,0.056910569105691054
1,uncertainty,10,1,0.1,0.6585933223864258,0.1891176547858961,0.05455910035165453,0.341119688329337,369,21,0.056910569105691054
1,domain_distance,10,0,0.0,0.7023809523809523,0.18169969023302515,0.05612078776929683,0.363067941530569,369,21,0.056910569105691054
1,hybrid,10,2,0.2,0.6848659003831418,0.27145788602109544,0.0507009340172984,0.4042290192053364,369,21,0.056910569105691054
1,random,20,0,0.0,0.6732348111658457,0.1583844082534978,0.056274071101925144,0.3372067524424748,369,21,0.056910569105691054
1,kennard_stone,20,0,0.0,0.701696770662288,0.21290599929332793,0.05386090122506173,0.3914687727774592,369,21,0.056910569105691054
1,uncertainty,20,1,0.05,0.6758347016967706,0.13736937522160753,0.05815691236081835,0.3055298125309053,369,21,0.056910569105691054
1,domain_distance,20,0,0.0,0.6403940886699507,0.18856886630198047,0.05635589906498913,0.2883452516306832,369,21,0.056910569105691054
1,hybrid,20,4,0.2,0.6971811713191023,0.27045110524390226,0.05020719831173987,0.4526798818215163,369,21,0.056910569105691054
1,random,30,1,0.03333333333333333,0.6819923371647508,0.1966706708130684,0.053449204519223734,0.37841076043566474,369,21,0.056910569105691054
1,kennard_stone,30,1,0.03333333333333333,0.6324575807334428,0.16478980637550056,0.05473859571177306,0.31401414691326335,369,21,0.056910569105691054
1,uncertainty,30,1,0.03333333333333333,0.7174329501915709,0.15712561492556706,0.05703326164128555,0.3893940531608368,369,21,0.056910569105691054
1,domain_distance,30,2,0.06666666666666667,0.7048440065681445,0.22664710584460918,0.05332356462511261,0.4089960404146224,369,21,0.056910569105691054
1,hybrid,30,5,0.16666666666666666,0.7105911330049262,0.2583815713941073,0.051272810151120306,0.4600224435227881,369,21,0.056910569105691054
1,random,50,1,0.02,0.7044334975369458,0.18173556225282236,0.05356020052144328,0.4101674311283811,369,21,0.056910569105691054
1,kennard_stone,50,3,0.06,0.6986863711001642,0.21861268731813208,0.05250419628346602,0.41234606345274133,369,21,0.056910569105691054
1,uncertainty,50,1,0.02,0.6576354679802955,0.17052371784521297,0.05487884345688012,0.33468109281655295,369,21,0.056910569105691054
1,domain_distance,50,3,0.06,0.6934865900383141,0.207747495584245,0.053394667458465474,0.37660548128322385,369,21,0.056910569105691054
1,hybrid,50,7,0.14,0.6917077175697866,0.24717100355365682,0.049552489064160855,0.4295615271771877,369,21,0.056910569105691054
1,random,75,5,0.06666666666666667,0.6889709906951286,0.17780186190073236,0.053851161733734325,0.3675588955278206,369,21,0.056910569105691054
1,kennard_stone,75,5,0.06666666666666667,0.6673508483853311,0.1835498201350015,0.05267356264689769,0.3675067998032641,369,21,0.056910569105691054
1,uncertainty,75,2,0.02666666666666667,0.6834975369458128,0.15931444729833477,0.0575580774926813,0.3295922656700875,369,21,0.056910569105691054
1,domain_distance,75,3,0.04,0.6870552818828681,0.19765421227979413,0.055329456575296365,0.35774211651663224,369,21,0.056910569105691054
1,hybrid,75,9,0.12,0.672687465790914,0.21978415708098908,0.051003259704257634,0.41786745595924085,369,21,0.056910569105691054
1,random,100,4,0.04,0.7402846195949644,0.20598077738233422,0.052388914861391404,0.4564898195190029,369,21,0.056910569105691054
1,kennard_stone,100,7,0.07,0.7063492063492064,0.19924438145288104,0.05413936399370857,0.3811465229013375,369,21,0.056910569105691054
1,uncertainty,100,2,0.02,0.7152435686918445,0.1825146574284853,0.0562761691172284,0.3664566411082088,369,21,0.056910569105691054
1,domain_distance,100,4,0.04,0.7129173508483854,0.16669391501928849,0.05549136021645254,0.3918210107266717,369,21,0.056910569105691054
1,hybrid,100,9,0.09,0.7034756431308155,0.2500768976356093,0.05077680878064586,0.4499652199664399,369,21,0.056910569105691054
2,source_only,0,0,0.0,0.6284893267651889,0.11680010254805104,0.06296282103370747,0.2203210602120366,369,21,0.056910569105691054
2,random,10,2,0.2,0.6651614668856047,0.13068439732003756,0.06073113225616863,0.26502666629240723,369,21,0.056910569105691054
2,kennard_stone,10,1,0.1,0.6141215106732348,0.13545492929736108,0.057029967857973526,0.21562555378438228,369,21,0.056910569105691054
2,uncertainty,10,1,0.1,0.6245210727969348,0.15013544940221138,0.0589860195305059,0.2424907723703537,369,21,0.056910569105691054
2,domain_distance,10,1,0.1,0.6242474001094691,0.16774057161508896,0.05690190906527845,0.24183435662451885,369,21,0.056910569105691054
2,hybrid,10,3,0.3,0.6305418719211823,0.1871411698982486,0.05536227803481556,0.2608899206404517,369,21,0.056910569105691054
2,random,20,0,0.0,0.6284893267651888,0.14405280236674678,0.054624668643204546,0.2561271084287951,369,21,0.056910569105691054
2,kennard_stone,20,1,0.05,0.629584017515052,0.13585189648217727,0.057733670162574025,0.2456767181813107,369,21,0.056910569105691054
2,uncertainty,20,1,0.05,0.6023535851122058,0.11994663251213447,0.06067276616189413,0.2072050845171485,369,21,0.056910569105691054
2,domain_distance,20,1,0.05,0.6011220580186097,0.12866415533949385,0.059052932566995515,0.1818605653113834,369,21,0.056910569105691054
2,hybrid,20,3,0.15,0.6160372194854953,0.1462694198941471,0.056078434698051016,0.23997950983371014,369,21,0.056910569105691054
2,random,30,2,0.06666666666666667,0.5997536945812808,0.17591141960314413,0.0561479988426311,0.22161599013598995,369,21,0.056910569105691054
2,kennard_stone,30,2,0.06666666666666667,0.6131636562671046,0.13845449477610988,0.0562396596543897,0.22218725202472295,369,21,0.056910569105691054
2,uncertainty,30,1,0.03333333333333333,0.6183634373289546,0.1418155812963498,0.05752525829490586,0.22501920900709232,369,21,0.056910569105691054
2,domain_distance,30,1,0.03333333333333333,0.6235632183908046,0.14821152259021853,0.05609556724124736,0.24848041556358835,369,21,0.056910569105691054
2,hybrid,30,3,0.1,0.6198686371100164,0.17542737677270265,0.052624015306031016,0.2741347086611417,369,21,0.056910569105691054
2,random,50,1,0.02,0.6124794745484401,0.1428161880214975,0.05576164067427803,0.23102619335078334,369,21,0.056910569105691054
2,kennard_stone,50,4,0.08,0.6128899835796388,0.1518230848591811,0.05549075925313378,0.21554444332745124,369,21,0.056910569105691054
2,uncertainty,50,1,0.02,0.6328680897646414,0.1523954352960913,0.059203672591451394,0.23038485015385768,369,21,0.056910569105691054
2,domain_distance,50,2,0.04,0.6434044882320744,0.14846909685501464,0.05645866982068652,0.27873441258772264,369,21,0.056910569105691054
2,hybrid,50,5,0.1,0.6128899835796386,0.1729126824025907,0.052604817754611476,0.24817059755800266,369,21,0.056910569105691054
