strategy,budget_n,n_reps,mean_selected_pos,mean_selected_pos_rate,auroc_mean,auroc_ci_low,auroc_ci_high,prauc_mean,prauc_ci_low,prauc_ci_high,brier_mean,brier_ci_low,brier_ci_high,slope_mean,slope_ci_low,slope_ci_high
domain_distance,10,20,0.9,0.09000000000000001,0.6930102858585716,0.670888951915944,0.7153392868905293,0.19172933903465594,0.17369032757989322,0.21008212814675783,0.05425012776671036,0.052875776612911034,0.055686362400337266,0.3613779619421577,0.3187568137983074,0.40243962511932807
domain_distance,20,20,0.9,0.045000000000000005,0.6900487709822263,0.6668951255287215,0.7132300447325457,0.19873868142098117,0.17625967653595134,0.22208037868058747,0.053120047614437824,0.05160084993765781,0.05481006454726762,0.36864296081434633,0.3242208299648322,0.4128925340354439
domain_distance,30,20,2.15,0.07166666666666667,0.6898715502734375,0.6653303307753955,0.7128717970885617,0.18725985736540823,0.1663598625853581,0.20861238501864152,0.053357144215215056,0.052174882016375865,0.05472625989071414,0.3637709966317725,0.31968527173605576,0.406738117333514
domain_distance,50,20,3.45,0.06900000000000002,0.7005320228410833,0.6790933313062735,0.7223317104111677,0.1964298810503157,0.17402548331835474,0.21882475960288106,0.052720167055509734,0.05138591927181686,0.054149103696775225,0.3870483641747918,0.34671870199206795,0.42854869710399995
domain_distance,75,20,4.35,0.05799999999999998,0.6896851783891108,0.6691523547221477,0.7115640656783083,0.19888450544074873,0.17485281619072376,0.2252284963436158,0.05193319192381152,0.05058027685431705,0.05337299920778521,0.3756528322331421,0.3343903163510529,0.4181380510075281
domain_distance,100,20,5.35,0.05350000000000001,0.6870707808532629,0.6634312669869186,0.7100195306434994,0.19668114913327162,0.17067389737258779,0.2234605868092694,0.05172779068218234,0.05038985008984311,0.05319980916178665,0.38302569943623443,0.33494752481701495,0.42981501982308296
hybrid,10,20,2.05,0.205,0.69888964168482,0.6801384974938169,0.7180740456155126,0.21617451151963082,0.19345780821164515,0.2386670017767235,0.05151962155330594,0.05017190665551458,0.05303698173300234,0.39822826320661,0.3591622587924028,0.43674443415450453
hybrid,20,20,3.3,0.16500000000000004,0.7058969524311387,0.6860393182962345,0.7257762540521593,0.22856775543005986,0.20164554630051018,0.25498503244092346,0.050462907070235964,0.048998754853278426,0.0520693899543282,0.42678231369184144,0.38207173193630234,0.47181223042545556
hybrid,30,20,4.0,0.13333333333333336,0.7050928722771921,0.6864108939569307,0.7239438030975984,0.2372066428358793,0.2088663662108926,0.2652615386191797,0.04998251535290835,0.04845150971411447,0.05160323097825121,0.43587087558831283,0.39459393166720214,0.4769142459090386
hybrid,50,20,6.35,0.12700000000000003,0.6987393099056965,0.6770705373708288,0.7201944088630742,0.23261202964673472,0.20616915329435406,0.25951323056540115,0.04957288219243329,0.04821757918346178,0.05099976052001872,0.43431285255575086,0.3875481461196555,0.4773901455302441
hybrid,75,20,7.95,0.10599999999999998,0.7025702766368214,0.6821390384678722,0.7226001733195007,0.23297972040046103,0.2061593891882311,0.2611703599486906,0.049728165377013175,0.04858800446644537,0.05097511409568312,0.4461665265945155,0.40009149316126846,0.49246615164392243
hybrid,100,20,9.05,0.09050000000000001,0.7015908969720351,0.681362831367438,0.7224119282671735,0.23820705163840739,0.21313426668694233,0.2630055100110372,0.04960166208050917,0.04850103043671134,0.050858837988655724,0.45607043389642205,0.41012990977044567,0.5028630429215031
kennard_stone,10,20,0.7,0.07000000000000002,0.6845973639595812,0.6633949784982663,0.7070758401712297,0.1875843363603038,0.16424256179044183,0.21182915292330212,0.053431039622459466,0.05204933463216658,0.055073212089829474,0.3561101173597528,0.31498132925942046,0.3972949086700503
kennard_stone,20,20,1.05,0.052500000000000005,0.6870318824760087,0.6651053684936082,0.7098352589421962,0.19208732036421614,0.1690025821688823,0.21563479358645865,0.05304452571945807,0.05159417941578931,0.05457635335461113,0.36479082635616694,0.32171988366746807,0.408635000387958
