method,clip,n_features,domain_auroc_selected_space,effective_sample_size,auroc,prauc,brier,slope,n,positives,prevalence,weight_p99
all_6000_unweighted,,6000,0.987697621039535,,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555,
target_blind_invariant_unweighted,,100,0.987697621039535,3790.0,0.6470238303530811,0.11867731552126974,0.06478061434883349,0.3021361584972402,738,41,0.05555555555555555,
target_blind_invariant_density_weight,2.0,100,0.987697621039535,504.30816650390625,0.6304720579486999,0.11295785240990328,0.05924323794634081,0.25680776281990564,738,41,0.05555555555555555,12.901063919067383
target_blind_invariant_density_weight,5.0,100,0.987697621039535,305.52838134765625,0.6689995450887076,0.11887712064440537,0.06011721476656133,0.29611832122880266,738,41,0.05555555555555555,23.619171142578125
target_blind_invariant_density_weight,10.0,100,0.987697621039535,211.3728485107422,0.6616159848829478,0.11073410351895462,0.058356002504602524,0.3005750282296781,738,41,0.05555555555555555,24.43617057800293
target_blind_invariant_density_weight,20.0,100,0.987697621039535,146.8467559814453,0.6701893130839487,0.12792617671107714,0.05994786844067367,0.3001027345766565,738,41,0.05555555555555555,21.44754981994629
