stratum,auroc,prauc,brier,slope,n,positives,prevalence,domain_auroc_svd,knn_k,ncomp
all,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555,0.993181314398896,10,100
high_support,0.6700193423597679,0.11381871443869947,0.05003665963704995,0.2634204238614635,246,11,0.044715447154471545,0.993181314398896,10,100
medium_support,0.7762711864406779,0.24738050676259615,0.04215485813063488,0.5283091360494979,246,10,0.04065040650406504,0.993181314398896,10,100
low_support,0.6725663716814159,0.16620931428544578,0.07904248469014465,0.30434024997815634,246,20,0.08130081300813008,0.993181314398896,10,100
