feature_set,selection_protocol,selection_sites,n_features,auroc,prauc,brier,slope,n,positives,prevalence
all_6000,target_blind,DRIAMS-A|DRIAMS-B,6000,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555
target_blind_invariant,target_blind,DRIAMS-A|DRIAMS-B,100,0.6470238303530811,0.11867731552126974,0.06478061434883349,0.3021361584972402,738,41,0.05555555555555555
