method,clip,domain_auroc,auroc,prauc,brier,slope,n,positives,prevalence,effective_sample_size,weight_p99
unweighted,,0.9943518458931292,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555,,
density_ratio,2.0,0.9943518458931292,0.6780277845820065,0.1806530355655418,0.055490620916678696,0.30347717193446855,738,41,0.05555555555555555,311.4893493652344,22.306989669799805
density_ratio,5.0,0.9943518458931292,0.6728138013087448,0.16314903189758742,0.057564281405037956,0.27878532004893236,738,41,0.05555555555555555,180.0525360107422,30.521934509277344
density_ratio,10.0,0.9943518458931292,0.676803023410435,0.20987143103948394,0.05502577685692524,0.3198376497022555,738,41,0.05555555555555555,119.47490692138672,25.06378936767578
density_ratio,20.0,0.9943518458931292,0.6741085488329775,0.1898116364043968,0.05509849498264346,0.31265390179873076,738,41,0.05555555555555555,79.4092025756836,21.116212844848633
