cluster,js_divergence,n_source,n_target,source_prevalence,target_prevalence,expert_used,global_auroc,global_prauc,global_brier,global_slope,global_n,global_positives,global_prevalence,local_auroc,local_prauc,local_brier,local_slope,local_n,local_positives,local_prevalence
0,0.024243614823434574,106,30,0.04716981132075472,0.06666666666666667,False,0.7142857142857143,0.5555555555555556,0.03878072241876938,0.5977932687663524,30.0,2.0,0.06666666666666667,,,,,,,
1,0.024243614823434574,2212,299,0.2115732368896926,0.03678929765886288,True,0.7863005050505051,0.19153779351254846,0.049273023005946597,0.4817943966527067,299.0,11.0,0.03678929765886288,0.6770833333333333,0.11437429950536922,0.05059150483757142,0.2805814157540046,299.0,11.0,0.03678929765886288
2,0.024243614823434574,499,91,0.050100200400801605,0.08791208791208792,True,0.805722891566265,0.377083292524469,0.08256109123369461,0.7345349647121666,91.0,8.0,0.08791208791208792,0.6099397590361446,0.1377063170705412,0.0878815241176259,0.15381152848403068,91.0,8.0,0.08791208791208792
3,0.024243614823434574,161,51,0.11180124223602485,0.0,True,,,,,,,,,,0.0010941344228517047,,51.0,0.0,0.0
4,0.024243614823434574,55,31,0.05454545454545454,0.03225806451612903,False,0.5333333333333333,0.06666666666666667,0.03285229070906161,0.07750467144522176,31.0,1.0,0.03225806451612903,,,,,,,
5,0.024243614823434574,363,142,0.33608815426997246,0.09154929577464789,True,0.7388193202146691,0.2436869570950593,0.08227568959273222,0.4529999408855289,142.0,13.0,0.09154929577464789,0.706618962432916,0.3319262533157231,0.0937799608775824,0.35293500640706726,142.0,13.0,0.09154929577464789
6,0.024243614823434574,317,62,0.15141955835962145,0.03225806451612903,True,0.7,0.08116883116883117,0.039646137557433535,0.44628158525614975,62.0,2.0,0.03225806451612903,0.7083333333333333,0.19523809523809524,0.03124628715318331,0.4413699488484398,62.0,2.0,0.03225806451612903
7,0.024243614823434574,77,32,0.4805194805194805,0.125,False,0.4642857142857143,0.3475989736070381,0.10634589469031203,0.11898599047932218,32.0,4.0,0.125,,,,,,,
