method,n_clusters,js_divergence,auroc,prauc,brier,slope,n,positives,prevalence
global_source_model,8,0.024243614823434574,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555
source_defined_routed_experts,8,0.024243614823434574,0.6118906813171432,0.16928902060117512,0.05964609086646516,0.1723234205271798,738,41,0.05555555555555555
