feature_set,n_features,auroc,prauc,brier,slope,n,positives,prevalence
all_6000,6000,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555
cross_site_invariant,100,0.6883157784232076,0.22014290112778226,0.07818176127094134,0.4042212339917062,738,41,0.05555555555555555
