budget_n,metric,observed,empirical_p,direction,null_mean,null_sd,null_ci_low,null_ci_high
20,mean_gain_vs_random,0.0023344890115811244,0.05189620758483034,greater,0.00023374988958935962,0.001248588550241723,-0.0017658351081749207,0.0023641931200963904
20,mean_gain_vs_hybrid,0.00196334679144001,0.05189620758483034,greater,-0.00013739233055175477,0.001248588550241723,-0.002136977328316035,0.0019930508999552758
20,sign_accuracy,0.8,0.059880239520958084,greater,0.5074,0.16464950324199484,0.25,0.8
20,mean_regret,0.000308002323761461,0.05189620758483034,less,0.0024087414457532254,0.001248588550241723,0.0002782982152461949,0.004408326443517506
20,zero_regret_fraction,0.8,0.059880239520958084,greater,0.5074,0.16464950324199484,0.25,0.8
30,mean_gain_vs_random,0.003653345140658902,0.10578842315369262,greater,0.0015864003125448014,0.001246798673147366,-0.0012877746719306012,0.00427464251195406
30,mean_gain_vs_hybrid,0.0018682050458616608,0.10578842315369262,greater,-0.0001987397822524396,0.001246798673147366,-0.0030729147667278426,0.0024895024171568193
30,sign_accuracy,0.85,0.13572854291417166,greater,0.6507000000000001,0.15479804543255538,0.27375000000000005,0.95
30,mean_regret,0.0007985627259385605,0.10578842315369262,less,0.002865507554052661,0.001246798673147366,0.0001772653546434022,0.005739682538528064
30,zero_regret_fraction,0.85,0.13572854291417166,greater,0.6507000000000001,0.15479804543255538,0.27375000000000005,0.95
50,mean_gain_vs_random,0.004222437689798837,0.10179640718562874,greater,0.0018997934068650188,0.0012045140359588616,-0.00044803861261380473,0.004637893368189108
50,mean_gain_vs_hybrid,0.0022237144145571194,0.10179640718562874,greater,-9.892986837669901e-05,0.0012045140359588616,-0.0024467618878555226,0.0026391700929473904
50,sign_accuracy,0.8,0.12375249500998003,greater,0.5892000000000001,0.10861378323129911,0.4,0.85
50,mean_regret,0.0009663150493254682,0.10179640718562874,less,0.003288959332259287,0.0012045140359588616,0.0005508593709351972,0.00563679135173811
50,zero_regret_fraction,0.8,0.12375249500998003,greater,0.5892000000000001,0.10861378323129911,0.4,0.85
