rep,yontem,n_unlab,reg,reg_cl,auroc,prauc,egim,dom_once,dom_sonra
0,raw6000,-1,,,0.7358729195123186,0.41569922509261176,0.6440414005347507,,
0,svd_none,100,,,0.7136135984216119,0.4035555728945875,0.8351075349692598,0.98898,0.98898
0,sinkhorn,100,0.05,,0.6035058430717863,0.1463839638114412,0.3973724308350832,0.98898,0.9478
0,sinkhorn,100,0.5,,0.5411544493347499,0.14314468919080792,0.17040169696292012,0.98898,0.99976
0,sinkhorn_l1l2,100,0.05,0.1,0.6743056609500684,0.2723433246133406,0.5009017340315545,0.98898,0.9982800000000001
0,sinkhorn_l1l2,100,0.05,1.0,0.6737744726058582,0.2827862443926935,0.6692175091769116,0.98898,0.99864
0,sinkhorn_l1l2,100,0.5,0.1,0.6951484797895482,0.2977821601387014,0.6744999746203862,0.98898,0.99866
0,sinkhorn_l1l2,100,0.5,1.0,0.6709667627864623,0.27607252428941964,0.6002967011177323,0.98898,0.99856
0,svd_none,250,,,0.7065057924824201,0.3892145818802474,0.7842481626053022,0.9910800000000001,0.9910800000000001
0,sinkhorn,250,0.05,,0.6187079475894167,0.16019818634937844,0.464980282590611,0.9910800000000001,0.978388
0,sinkhorn,250,0.5,,0.531188344210047,0.10285683873513683,0.07473047619904771,0.9910800000000001,0.999864
0,sinkhorn_l1l2,250,0.05,0.1,0.6276116760256993,0.2376156295377186,0.3808846052026145,0.9910800000000001,0.998544
0,sinkhorn_l1l2,250,0.05,1.0,0.6425608337127535,0.2163681207423796,0.5345664279444267,0.9910800000000001,0.9983359999999999
0,sinkhorn_l1l2,250,0.5,0.1,0.6937319775383214,0.30239112588728245,0.646470978582098,0.9910800000000001,0.9985520000000001
0,sinkhorn_l1l2,250,0.5,1.0,0.6721809075732281,0.3069886757866988,0.6602707664008557,0.9910800000000001,0.99844
0,svd_none,500,,,0.6895836495168715,0.4267196361861143,0.74079415807308,0.9954160000000001,0.9954160000000001
0,sinkhorn,500,0.05,,0.5859513330297972,0.13370600833904517,0.3298962486154755,0.9954160000000001,0.98128
0,sinkhorn,500,0.5,,0.48919917033439575,0.10162084891186672,-0.04155012723842405,0.9954160000000001,0.999788
0,sinkhorn_l1l2,500,0.05,0.1,0.6959073202812769,0.27430545542306073,0.6382323741893712,0.9954160000000001,0.9992559999999999
0,sinkhorn_l1l2,500,0.05,1.0,0.7097182172307381,0.35531701787017955,0.8639931009784336,0.9954160000000001,0.9991559999999999
0,sinkhorn_l1l2,500,0.5,0.1,0.7049628168159053,0.32018731251302196,0.7560587243539322,0.9954160000000001,0.9991519999999999
0,sinkhorn_l1l2,500,0.5,1.0,0.7093640916679314,0.28245809011526135,0.8116748188347193,0.9954160000000001,0.999004
0,svd_none,1329,,,0.6496686396519452,0.37182778413825324,0.6358571969981027,0.993894,0.993894
0,sinkhorn,1329,0.05,,0.693833156270552,0.22897983633337116,0.7711911472888378,0.993894,0.9867130000000001
0,sinkhorn,1329,0.5,,0.5440380432033187,0.11335632346594034,0.15075577785061536,0.993894,0.9992719999999999
0,sinkhorn_l1l2,1329,0.05,0.1,0.7258056356553853,0.39007304010495014,0.8969467403459613,0.993894,0.9989079999999999
0,sinkhorn_l1l2,1329,0.05,1.0,0.7120453280720394,0.3247839533351452,0.9084835776208017,0.993894,0.998328
0,sinkhorn_l1l2,1329,0.5,0.1,0.6984114939039814,0.3298426862417604,0.7733753954421757,0.993894,0.998552
0,sinkhorn_l1l2,1329,0.5,1.0,0.7032680730510447,0.31671616554954196,0.8334127291764892,0.993894,0.9983759999999999
1,raw6000,-1,,,0.7547933424394193,0.4345475041232502,0.678924560311236,,
1,svd_none,100,,,0.7064299084332473,0.3972487150858986,0.813296727587958,0.9927,0.9927
1,sinkhorn,100,0.05,,0.5312389335761623,0.10669643947122881,0.1420028145012991,0.9927,0.97048
1,sinkhorn,100,0.5,,0.5470734051702332,0.11874063672237208,0.11085184560605646,0.9927,1.0
1,sinkhorn_l1l2,100,0.05,0.1,0.6398795973086459,0.31991860574837383,0.4422518764792022,0.9927,0.99712
1,sinkhorn_l1l2,100,0.05,1.0,0.6789851773157283,0.3411547428141637,0.6867952113430756,0.9927,0.99712
1,sinkhorn_l1l2,100,0.5,0.1,0.6697526179996964,0.3456946688732833,0.6535886398067129,0.9927,0.9972799999999999
1,sinkhorn_l1l2,100,0.5,1.0,0.7010927303080893,0.37855090415216586,0.7705528144755994,0.9927,0.9966999999999999
1,svd_none,250,,,0.6786057570698639,0.4063392774488668,0.7450961066062135,0.99348,0.99348
1,sinkhorn,250,0.05,,0.6035058430717863,0.15439895766977915,0.3427727128033796,0.99348,0.974896
1,sinkhorn,250,0.5,,0.5350837254009208,0.1674194539515992,0.23320941067774476,0.99348,0.9999119999999999
1,sinkhorn_l1l2,250,0.05,0.1,0.6678302220873171,0.37772903592026735,0.7116010728658742,0.99348,0.9983599999999999
1,sinkhorn_l1l2,250,0.05,1.0,0.7254515100925785,0.41226902726093473,0.957248418975348,0.99348,0.99824
1,sinkhorn_l1l2,250,0.5,0.1,0.6835382202661,0.4002917836162927,0.7695462774798553,0.99348,0.99824
1,sinkhorn_l1l2,250,0.5,1.0,0.7252997419942327,0.43888757098500897,0.9766719271665858,0.99348,0.9981599999999999
1,svd_none,500,,,0.7042798603733494,0.4442089103629616,0.8262189268727448,0.996544,0.996544
1,sinkhorn,500,0.05,,0.620225628572874,0.14670328405536914,0.41828874898023977,0.996544,0.985644
1,sinkhorn,500,0.5,,0.508220771993727,0.09887078090786214,0.003663281702669391,0.996544,1.0
1,sinkhorn_l1l2,500,0.05,0.1,0.7007891941113977,0.3736780408037544,0.7482707962309483,0.996544,0.99924
1,sinkhorn_l1l2,500,0.05,1.0,0.736378813173471,0.445131668803866,1.0643015395175768,0.996544,0.999324
1,sinkhorn_l1l2,500,0.5,0.1,0.7047604593514444,0.4007733060721775,0.8518321750593927,0.996544,0.999152
1,sinkhorn_l1l2,500,0.5,1.0,0.7209237618252643,0.39547548236684943,0.9288348238687212,0.996544,0.999288
1,svd_none,1329,,,0.7124753376840188,0.43709367253959136,0.7770996526980819,0.9959,0.9959
1,sinkhorn,1329,0.05,,0.5875196033793696,0.22747473550264713,0.47950009154368983,0.9959,0.990606
1,sinkhorn,1329,0.5,,0.6324682551727627,0.17888247369404758,0.5132779993861984,0.9959,1.0
1,sinkhorn_l1l2,1329,0.05,0.1,0.734304649162746,0.42427192159654503,0.8734846618692421,0.9959,0.998694
1,sinkhorn_l1l2,1329,0.05,1.0,0.7607628876410178,0.4558896660262285,1.0475176492878826,0.9959,0.9991639999999999
1,sinkhorn_l1l2,1329,0.5,0.1,0.7253250366772905,0.42404815729569445,0.8546464018742143,0.9959,0.99882
1,sinkhorn_l1l2,1329,0.5,1.0,0.715662467749279,0.38812216943048083,0.7872671191742242,0.9959,0.998876
2,raw6000,-1,,,0.7614458440835737,0.47426338385278444,0.7255733233737934,,
2,svd_none,100,,,0.7176354530277735,0.41513017825831705,0.8127199586852317,0.9845600000000001,0.9845600000000001
2,sinkhorn,100,0.05,,0.623842768250114,0.19031285812057958,0.45563514636288854,0.9845600000000001,0.9494100000000001
2,sinkhorn,100,0.5,,0.5037689077755856,0.09932495297383079,-0.016210714874014456,0.9845600000000001,0.9997199999999999
2,sinkhorn_l1l2,100,0.05,0.1,0.678074568725654,0.22289889026004517,0.5076380297510519,0.9845600000000001,0.99944
2,sinkhorn_l1l2,100,0.05,1.0,0.6962867405271412,0.375610545111754,0.7955745064246027,0.9845600000000001,0.9997400000000001
2,sinkhorn_l1l2,100,0.5,0.1,0.6861941619871502,0.25918143054819637,0.6339879847651579,0.9845600000000001,0.99902
2,sinkhorn_l1l2,100,0.5,1.0,0.7026610006576617,0.34625868524677766,0.7741072691766655,0.9845600000000001,0.99966
2,svd_none,250,,,0.7667324328426165,0.498105473849201,0.9760636572405053,0.993248,0.993248
2,sinkhorn,250,0.05,,0.6578388222795568,0.17531044742959268,0.581177293899192,0.993248,0.9687760000000001
2,sinkhorn,250,0.5,,0.5362219861385137,0.11450610530599271,0.16163257313685342,0.993248,0.999864
2,sinkhorn_l1l2,250,0.05,0.1,0.7201902160165933,0.3719507754988236,0.7629904398737419,0.993248,0.9984959999999999
2,sinkhorn_l1l2,250,0.05,1.0,0.7089087873728941,0.40967709494878574,0.8598724608012543,0.993248,0.99856
2,sinkhorn_l1l2,250,0.5,0.1,0.7312945818788892,0.3907013966706382,0.8159894806915916,0.993248,0.9985919999999999
