cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,finetune,200,0.315 [0.291-0.340],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,finetune,400,0.345 [0.317-0.371],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,local,25,0.236 [0.206-0.271],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,local,50,0.230 [0.207-0.258],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,local,100,0.283 [0.256-0.310],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,local,200,0.318 [0.291-0.346],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,local,400,0.369 [0.344-0.388],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,pooled,25,0.351 [0.335-0.369],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,pooled,50,0.344 [0.320-0.371],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,pooled,100,0.357 [0.332-0.383],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,pooled,200,0.373 [0.350-0.397],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,prauc,pooled,400,0.386 [0.365-0.408],0.363 [0.344-0.383]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,recal,25,0.635 [0.559-0.683],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,recal,50,0.669 [0.651-0.687],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,recal,100,0.669 [0.651-0.686],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,recal,200,0.669 [0.650-0.686],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,recal,400,0.669 [0.651-0.687],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,finetune,25,0.660 [0.639-0.679],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,finetune,50,0.667 [0.651-0.685],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,finetune,100,0.684 [0.671-0.698],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,finetune,200,0.666 [0.646-0.687],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,finetune,400,0.689 [0.668-0.708],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,local,25,0.571 [0.534-0.611],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,local,50,0.575 [0.551-0.598],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,local,100,0.638 [0.621-0.654],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,local,200,0.665 [0.649-0.678],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,local,400,0.691 [0.678-0.703],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,pooled,25,0.668 [0.648-0.686],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,pooled,50,0.667 [0.644-0.690],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,pooled,100,0.669 [0.649-0.688],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,pooled,200,0.681 [0.662-0.699],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,auroc,pooled,400,0.697 [0.678-0.716],0.669 [0.650-0.686]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,recal,25,1.094 [0.453-1.711],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,recal,50,1.151 [0.776-1.621],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,recal,100,1.104 [0.823-1.385],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,recal,200,1.226 [0.809-1.795],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,recal,400,1.029 [0.859-1.219],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,finetune,25,0.276 [0.244-0.304],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,finetune,50,0.270 [0.242-0.296],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,finetune,100,0.298 [0.244-0.346],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,finetune,200,0.240 [0.200-0.279],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,finetune,400,0.250 [0.200-0.292],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,local,25,0.125 [0.066-0.199],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,local,50,0.153 [0.096-0.215],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,local,100,0.267 [0.234-0.292],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,local,200,0.331 [0.287-0.387],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,local,400,0.507 [0.404-0.617],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,pooled,25,0.391 [0.351-0.428],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,pooled,50,0.381 [0.337-0.423],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,pooled,100,0.399 [0.355-0.442],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,pooled,200,0.430 [0.386-0.470],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-C,egim,pooled,400,0.477 [0.439-0.514],0.400 [0.364-0.437]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,recal,25,0.454 [0.439-0.469],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,recal,50,0.414 [0.322-0.468],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,recal,100,0.457 [0.443-0.472],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,recal,200,0.457 [0.443-0.471],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,recal,500,0.457 [0.444-0.471],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,finetune,25,0.402 [0.362-0.443],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,finetune,50,0.411 [0.386-0.431],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,finetune,100,0.397 [0.362-0.431],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,finetune,200,0.332 [0.293-0.376],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,finetune,500,0.341 [0.298-0.390],0.457 [0.443-0.471]
