cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,recal,200,0.513 [0.498-0.529],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,recal,500,0.513 [0.498-0.528],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,finetune,25,0.479 [0.468-0.490],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,finetune,50,0.467 [0.445-0.485],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,finetune,100,0.488 [0.478-0.496],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,finetune,200,0.478 [0.447-0.503],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,finetune,500,0.471 [0.449-0.493],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,local,25,0.244 [0.230-0.260],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,local,50,0.229 [0.208-0.250],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,local,100,0.232 [0.218-0.249],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,local,200,0.307 [0.282-0.332],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,local,500,0.395 [0.371-0.418],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,pooled,25,0.526 [0.506-0.547],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,pooled,50,0.540 [0.521-0.557],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,pooled,100,0.548 [0.531-0.566],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,pooled,200,0.546 [0.532-0.559],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,pooled,500,0.552 [0.538-0.565],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,recal,25,0.721 [0.712-0.729],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,recal,50,0.725 [0.717-0.733],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,recal,100,0.725 [0.717-0.733],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,recal,200,0.725 [0.717-0.733],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,recal,500,0.725 [0.717-0.733],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,finetune,25,0.708 [0.699-0.717],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,finetune,50,0.699 [0.684-0.712],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,finetune,100,0.706 [0.699-0.713],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,finetune,200,0.710 [0.702-0.718],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,finetune,500,0.716 [0.703-0.727],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,local,25,0.566 [0.549-0.584],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,local,50,0.543 [0.519-0.568],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,local,100,0.556 [0.541-0.573],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,local,200,0.610 [0.592-0.627],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,local,500,0.649 [0.638-0.659],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,pooled,25,0.726 [0.714-0.737],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,pooled,50,0.736 [0.723-0.746],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,pooled,100,0.739 [0.729-0.747],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,pooled,200,0.736 [0.726-0.745],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,auroc,pooled,500,0.739 [0.726-0.750],0.725 [0.717-0.733]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,recal,25,0.817 [0.474-1.150],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,recal,50,0.957 [0.744-1.196],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,recal,100,10.198 [0.987-28.403],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,recal,200,1.010 [0.858-1.177],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,recal,500,1.087 [0.961-1.202],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,finetune,25,0.431 [0.411-0.453],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,finetune,50,0.418 [0.380-0.456],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,finetune,100,0.446 [0.424-0.469],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,finetune,200,0.428 [0.372-0.469],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,finetune,500,0.448 [0.413-0.482],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,local,25,0.137 [0.104-0.170],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,local,50,0.090 [0.042-0.141],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,local,100,0.117 [0.088-0.151],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,local,200,0.282 [0.219-0.346],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,local,500,0.432 [0.357-0.535],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,pooled,25,0.608 [0.570-0.641],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,pooled,50,0.639 [0.593-0.680],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,pooled,100,0.672 [0.637-0.713],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,pooled,200,0.659 [0.622-0.694],0.602 [0.576-0.627]
Escherichia coli/Ciprofloxacin,DRIAMS-D,egim,pooled,500,0.710 [0.663-0.752],0.602 [0.576-0.627]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,25,0.157 [0.050-0.265],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,50,0.211 [0.143-0.273],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,100,0.224 [0.164-0.276],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,200,0.256 [0.230-0.285],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,500,0.256 [0.230-0.286],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,recal,1000,0.256 [0.231-0.285],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,25,0.176 [0.163-0.190],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,50,0.120 [0.079-0.171],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,100,0.081 [0.065-0.101],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,200,0.077 [0.069-0.086],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,500,0.075 [0.066-0.084],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,finetune,1000,0.082 [0.075-0.089],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,25,0.092 [0.078-0.105],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,50,0.088 [0.070-0.110],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,100,0.089 [0.077-0.104],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,200,0.110 [0.086-0.140],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,500,0.128 [0.110-0.149],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,local,1000,0.143 [0.130-0.155],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,25,0.284 [0.277-0.291],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,50,0.247 [0.218-0.280],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,100,0.249 [0.225-0.281],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,200,0.249 [0.225-0.271],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,500,0.251 [0.226-0.279],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,prauc,pooled,1000,0.254 [0.230-0.277],0.256 [0.230-0.286]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,25,0.508 [0.356-0.660],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,50,0.570 [0.477-0.645],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,100,0.594 [0.520-0.655],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,200,0.640 [0.616-0.665],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,500,0.640 [0.616-0.665],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,recal,1000,0.640 [0.616-0.665],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,25,0.639 [0.626-0.653],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,50,0.578 [0.537-0.622],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,100,0.556 [0.518-0.596],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,200,0.558 [0.531-0.581],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,500,0.558 [0.527-0.591],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,finetune,1000,0.576 [0.552-0.600],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,25,0.627 [0.585-0.668],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,50,0.563 [0.533-0.594],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,100,0.589 [0.563-0.619],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,200,0.588 [0.553-0.620],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,500,0.605 [0.581-0.629],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,local,1000,0.608 [0.593-0.622],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,25,0.682 [0.676-0.688],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,50,0.645 [0.620-0.669],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,100,0.639 [0.615-0.667],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,200,0.648 [0.629-0.666],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,500,0.652 [0.623-0.680],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,auroc,pooled,1000,0.657 [0.635-0.679],0.640 [0.616-0.665]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,25,-9.867 [-20.882-1.149],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,50,-1.812 [-5.537-0.964],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,100,2.098 [-1.506-6.011],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,200,1.019 [0.720-1.430],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,500,1.217 [0.925-1.588],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,recal,1000,1.123 [0.878-1.438],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,25,0.181 [0.159-0.202],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,50,0.076 [0.012-0.153],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,100,0.023 [0.006-0.042],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,200,0.021 [0.011-0.029],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,500,0.016 [0.005-0.028],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,finetune,1000,0.032 [0.023-0.042],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,25,0.161 [0.132-0.189],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,50,0.125 [0.066-0.184],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,100,0.211 [0.146-0.295],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,200,0.223 [0.147-0.299],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,500,0.293 [0.246-0.336],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,local,1000,0.348 [0.293-0.417],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,25,0.582 [0.574-0.591],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,50,0.477 [0.421-0.529],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,100,0.459 [0.409-0.518],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,200,0.467 [0.416-0.516],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,500,0.496 [0.436-0.558],0.477 [0.425-0.529]
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,egim,pooled,1000,0.512 [0.455-0.575],0.477 [0.425-0.529]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,recal,25,0.118 [0.106-0.130],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,recal,50,0.138 [0.079-0.194],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,recal,100,0.160 [0.131-0.191],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,recal,200,0.158 [0.133-0.186],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,recal,300,0.158 [0.132-0.186],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,finetune,25,0.113 [0.092-0.139],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,finetune,50,0.138 [0.104-0.179],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,finetune,100,0.134 [0.114-0.151],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,finetune,200,0.139 [0.100-0.190],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,finetune,300,0.135 [0.111-0.162],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,local,25,0.089 [0.073-0.100],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,local,50,0.083 [0.072-0.093],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,local,100,0.097 [0.075-0.123],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,local,200,0.092 [0.083-0.100],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,local,300,0.128 [0.104-0.157],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,pooled,25,0.127 [0.105-0.155],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,pooled,50,0.226 [0.197-0.262],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,pooled,100,0.200 [0.160-0.250],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,pooled,200,0.218 [0.176-0.261],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,prauc,pooled,300,0.252 [0.211-0.296],0.158 [0.133-0.186]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,recal,25,0.663 [0.636-0.688],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,recal,50,0.631 [0.450-0.749],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,recal,100,0.713 [0.680-0.744],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,recal,200,0.704 [0.676-0.732],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,recal,300,0.704 [0.674-0.732],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,finetune,25,0.651 [0.625-0.684],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,finetune,50,0.704 [0.655-0.750],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,finetune,100,0.680 [0.658-0.702],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,finetune,200,0.671 [0.636-0.712],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,finetune,300,0.684 [0.647-0.724],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,local,25,0.564 [0.515-0.615],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,local,50,0.562 [0.550-0.578],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,local,100,0.567 [0.528-0.607],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,local,200,0.560 [0.527-0.593],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,local,300,0.565 [0.533-0.602],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,pooled,25,0.662 [0.626-0.697],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,pooled,50,0.731 [0.687-0.775],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,pooled,100,0.709 [0.677-0.743],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,pooled,200,0.712 [0.689-0.736],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,auroc,pooled,300,0.721 [0.695-0.748],0.704 [0.675-0.733]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,recal,25,0.977 [0.823-1.228],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,recal,50,4.000 [-0.454-11.001],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,recal,100,0.940 [0.647-1.351],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,recal,200,2.865 [0.795-6.690],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,recal,300,1.245 [0.870-1.642],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,finetune,25,0.200 [0.172-0.214],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,finetune,50,0.308 [0.218-0.403],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,finetune,100,0.221 [0.133-0.305],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,finetune,200,0.146 [0.063-0.239],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,finetune,300,0.122 [0.079-0.169],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,local,25,0.154 [0.056-0.291],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,local,50,0.124 [0.065-0.179],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,local,100,0.190 [0.086-0.287],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,local,200,0.158 [0.080-0.242],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,local,300,0.232 [0.147-0.320],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,pooled,25,0.293 [0.219-0.371],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,pooled,50,0.467 [0.393-0.538],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,pooled,100,0.410 [0.349-0.475],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,pooled,200,0.439 [0.387-0.495],0.359 [0.306-0.414]
Staphylococcus aureus/Oxacillin,DRIAMS-C,egim,pooled,300,0.484 [0.419-0.550],0.359 [0.306-0.414]
