budget_n,n_species_exclusions,all_positive,positive_fraction,minimum_gain,maximum_gain,mean_gain,median_gain,min_sign_accuracy,mean_sign_accuracy
20,5,True,1.0,0.000861438621720674,0.0030053721570888503,0.002007166452891898,0.002124906091775568,0.6153846153846154,0.7535722791140749
30,5,True,1.0,0.0032372411215456456,0.006576373095313939,0.0041943874167743355,0.0035470170609800955,0.8333333333333334,0.9220846233230133
50,5,True,1.0,0.0024483055894771472,0.007135220566444782,0.004288249658574982,0.0037424460097848396,0.7058823529411765,0.7990037310470748
