budget_n,excluded_species,n_transfers,mean_random_prauc,mean_hybrid_prauc,mean_policy_prauc,mean_oracle_prauc,mean_gain_vs_random,mean_gain_vs_hybrid,sign_accuracy,mean_regret,zero_regret_fraction
20,NONE,20,0.5480881183890156,0.5484592606091567,0.5504226074005968,0.5507306097243581,0.0023344890115811244,0.00196334679144001,0.8,0.000308002323761461,0.8
30,NONE,20,0.5516693556001193,0.5534544956949164,0.555322700740778,0.5561212634667166,0.003653345140658902,0.0018682050458616608,0.85,0.0007985627259385605,0.85
50,NONE,20,0.5576842767143839,0.5596829999896256,0.5619067144041827,0.5628730294535084,0.004222437689798837,0.0022237144145571194,0.8,0.0009663150493254682,0.8
