scenario,budget_fraction,n_reps,mean_adapt_n,mean_adapt_pos,auroc_mean,auroc_std,auroc_ci_low,auroc_ci_high,prauc_mean,prauc_std,prauc_ci_low,prauc_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high,slope_mean,slope_std,slope_ci_low,slope_ci_high
source_only,0.0,20,0.0,0.0,0.6918934072328006,0.048367184324371267,0.6716690759077073,0.7130003768880671,0.18668199764836044,0.05923091499654858,0.16170805891869522,0.2121923644349076,0.05575102732130921,0.004503201812396325,0.05398834223288528,0.057796124174444935,0.35141393845985325,0.095808736173412,0.31007676594633876,0.3919824092058741
source_plus_target,0.01,20,10.0,2.2,0.6929520382733998,0.04715440635782477,0.6732001245249937,0.7128637682454994,0.19352564692463387,0.060746319212134685,0.168490961592371,0.21958293941654197,0.055500815554911084,0.0041886515020607236,0.05378042886880337,0.057286055737674826,0.35859965475943006,0.0920419573502176,0.31976309388496627,0.39723385516409754
source_plus_target,0.025,20,10.0,2.45,0.6898193642638362,0.05478419013315859,0.667533209572898,0.7136502366994287,0.19258356873400614,0.05228456761287735,0.1705192808429481,0.21479739890878,0.05471887822774776,0.00394157324804199,0.05314665137123897,0.05649360681808274,0.36339899585577734,0.10466462144050702,0.3203890515222251,0.4072547384037471
source_plus_target,0.05,20,18.0,2.45,0.6990667918189902,0.04841636709364488,0.6782643042009149,0.719007697730477,0.1974745333241839,0.0571543019396318,0.17287178655779165,0.22138381260105755,0.053570764436863594,0.004226922276202716,0.05181884198055126,0.05548057365958099,0.3851243453881317,0.0988971992968318,0.3427802403983459,0.4263166293290306
source_plus_target,0.1,20,37.0,3.25,0.6919548071509339,0.04438823209590853,0.6730180065257996,0.710532208099457,0.18804046322222495,0.04381586349546827,0.1686354978924969,0.20613279205798615,0.05258610894151108,0.0033413256355758728,0.051233092095956,0.054063012411390235,0.3773499534983022,0.09538541660341872,0.3363334737148375,0.41670716263712154
source_plus_target,0.2,20,74.0,4.5,0.7015573269784812,0.04521362799139841,0.6818726392790097,0.7209357744505765,0.21345123892519352,0.05449428405271471,0.1895260449965185,0.2360552149629004,0.05115888943775955,0.0041338235421144905,0.04952647923966167,0.053060834906397195,0.4028048270889991,0.08895445640838247,0.36371190446367374,0.4395701564135765
source_plus_target,0.5,20,184.0,10.65,0.7223577450938878,0.0601070327688986,0.6970663274968123,0.7471818175669634,0.2333612669703291,0.06692343908848676,0.20528389847686365,0.2617643855136296,0.05028885029391705,0.003311322554019374,0.04892349319440177,0.0517409163871925,0.45977073292259174,0.1162204461806805,0.41058784452895936,0.5081642647896988
source_plus_target,1.0,20,369.0,20.55,0.7379616011342126,0.04748890705453774,0.7172873873942753,0.7584916434750629,0.26992377874785467,0.07267612992389284,0.23785568234299215,0.30043860677559,0.049791338766183565,0.002763861721362628,0.04871405372608079,0.0510748752444779,0.5381712000758323,0.11856981104543117,0.48681643791402046,0.5881200118286739
target_only,0.01,20,10.0,2.2,0.5,0.0,0.5,0.5,0.055420054200542,0.0013832460312575591,0.0548780487804878,0.055962059620596215,0.0820569105691057,0.024085451804435023,0.07341260162601626,0.09379268292682927,1.332775033380186,0.08197952226552557,1.2937977260122024,1.3573554967242163
target_only,0.025,20,10.0,2.45,0.5,0.0,0.5,0.5,0.055420054200542,0.0013832460312575591,0.0548780487804878,0.055962059620596215,0.09176558265582656,0.026508368875494244,0.08100271002710027,0.10363685636856372,1.3459694927425667,0.08675414406080577,1.3033618860246223,1.3733048489241608
target_only,0.05,20,18.0,2.45,0.5,0.0,0.5,0.5,0.055420054200542,0.0013832460312575591,0.0548780487804878,0.055962059620596215,0.060286811201445356,0.007592995179894576,0.05722673893405603,0.0637356029810298,1.1764521050615087,0.10630730116583162,1.1315737754308421,1.2235653669293072
target_only,0.1,20,37.0,3.25,0.5,0.0,0.5,0.5,0.055420054200542,0.0013832460312575591,0.0548780487804878,0.055962059620596215,0.054539047947090136,0.003954026369290938,0.05305589455638894,0.05638420721314591,1.0131773228803753,0.12350361924028497,0.9619264102062766,1.0667828637553827
target_only,0.2,20,74.0,4.5,0.5335328281758971,0.07114811937835161,0.5022134292128735,0.5616644136699901,0.08241757453461528,0.024553163208678196,0.07291292364040627,0.0936502673120507,0.055427126383975775,0.001379166199946684,0.0548530436197496,0.056021855720107906,0.09650645534779198,0.2090531263975567,0.005757920195275189,0.18241770887561795
target_only,0.5,20,184.0,10.65,0.5863029995781206,0.07900978590928301,0.5517716717990097,0.6195239588087317,0.11202855586756182,0.038449032999003506,0.09559403597660934,0.12893966166267665,0.055377293684921,0.001419617922898581,0.05480471946115287,0.05597086805360953,0.20960912236307325,0.18227796625709752,0.1297305244851763,0.2884312150232206
target_only,1.0,20,369.0,20.55,0.5998357963875206,0.04843953334581334,0.5784904158687815,0.6196742038398865,0.11501987360924762,0.03337819035040528,0.10135574258772753,0.13068969203266156,0.05540355302605179,0.0013803740734664547,0.05486088786967674,0.05595070079714278,0.27752976120608075,0.13030135630740203,0.22007920090893848,0.3316450669581661
