comparison,mean_delta,median_delta,ci_low,ci_high,fraction_policy_better,fraction_policy_equal
selective_policy_v2 - always_random,0.004222437689798837,3.468793883570909e-05,0.0013776427887044545,0.007364993010181925,0.5,0.4
selective_policy_v2 - always_hybrid,0.0022237144145571194,0.0,-0.0001634996099935086,0.005078149104244689,0.3,0.6
