protokol,k,rho,ic_auroc,ic_prauc,dis_auroc,dis_prauc,dis_egim,site_train_species,site_heldout_species,site_task_species
B_unseen_site,20,1.0,0.892,0.804,0.691,0.227,0.37,0.991,0.991,0.996
B_unseen_site,30,0.25,0.892,0.804,0.677,0.167,0.32,0.994,0.994,0.996
B_unseen_site,30,0.5,0.892,0.801,0.648,0.166,0.27,0.994,0.993,0.995
B_unseen_site,30,0.75,0.898,0.807,0.691,0.172,0.34,0.992,0.992,0.995
B_unseen_site,30,1.0,0.894,0.802,0.72,0.181,0.4,0.989,0.99,0.995
B_unseen_site,50,0.25,0.897,0.805,0.668,0.157,0.3,0.994,0.995,0.996
B_unseen_site,50,0.5,0.893,0.803,0.664,0.192,0.3,0.994,0.995,0.995
B_unseen_site,50,0.75,0.896,0.8,0.682,0.159,0.31,0.99,0.992,0.994
B_unseen_site,50,1.0,0.9,0.8,0.701,0.175,0.37,0.984,0.99,0.994
B_unseen_site,100,0.25,0.896,0.803,0.673,0.171,0.31,0.994,0.995,0.996
B_unseen_site,100,0.5,0.897,0.809,0.67,0.134,0.25,0.993,0.994,0.995
B_unseen_site,100,0.75,0.894,0.803,0.663,0.148,0.28,0.989,0.993,0.994
B_unseen_site,100,1.0,0.897,0.798,0.68,0.204,0.35,0.973,0.991,0.994
