rep,strateji,n,auroc,prauc,brier,egim
4,finetune,500,0.5336,0.0615,0.1789,-0.0062
4,local,500,0.5909,0.0988,0.0563,0.2377
4,pooled,500,0.6465,0.2525,0.0534,0.5578
4,recal,1000,0.6439,0.2698,0.0487,1.2043
4,finetune,1000,0.5361,0.0702,0.1286,0.0127
4,local,1000,0.6354,0.1656,0.0567,0.376
4,pooled,1000,0.6914,0.2767,0.0516,0.6271
5,source,0,0.6359,0.2462,0.0531,0.4647
5,recal,50,0.6359,0.2462,0.0531,0.3446
5,finetune,50,0.6811,0.2786,0.0521,0.2744
5,local,50,0.6469,0.1579,0.0602,0.204
5,pooled,50,0.6623,0.2485,0.0539,0.4613
5,recal,100,0.6359,0.2462,0.0504,0.5537
5,finetune,100,0.5528,0.077,0.1481,0.024
5,local,100,0.5349,0.0735,0.0576,0.1267
5,pooled,100,0.6365,0.2255,0.0546,0.3922
5,recal,200,0.6359,0.2462,0.0494,0.5294
5,finetune,200,0.5606,0.0715,0.1806,0.0176
5,local,200,0.6335,0.1456,0.0569,0.2796
5,pooled,200,0.6294,0.2114,0.0542,0.3775
5,recal,500,0.6359,0.2462,0.0494,0.9263
5,finetune,500,0.6675,0.0966,0.1376,0.0459
5,local,500,0.673,0.1401,0.0574,0.3115
5,pooled,500,0.665,0.2305,0.0539,0.465
5,recal,1000,0.6359,0.2462,0.0497,1.0422
5,finetune,1000,0.6183,0.1004,0.1058,0.0506
5,local,1000,0.6133,0.153,0.0575,0.2867
5,pooled,1000,0.6597,0.2217,0.0539,0.4809
6,source,0,0.6796,0.2326,0.0548,0.5474
6,recal,50,0.3204,0.0417,0.0569,-7.3084
6,finetune,50,0.5097,0.056,0.2963,-0.0155
6,local,50,0.5551,0.0696,0.0575,0.1176
6,pooled,50,0.6671,0.2119,0.0557,0.5362
6,recal,100,0.6796,0.2326,0.0498,0.7329
6,finetune,100,0.6056,0.1146,0.0884,0.087
6,local,100,0.5618,0.073,0.0576,0.1284
6,pooled,100,0.6696,0.2084,0.056,0.5251
6,recal,200,0.6796,0.2326,0.0505,1.2343
6,finetune,200,0.5436,0.0723,0.1469,0.0197
6,local,200,0.6045,0.0902,0.0576,0.3233
6,pooled,200,0.6583,0.239,0.0559,0.5492
6,recal,500,0.6796,0.2326,0.0509,1.3395
6,finetune,500,0.5779,0.0811,0.1195,0.0219
6,local,500,0.5957,0.1448,0.0576,0.3014
6,pooled,500,0.7028,0.2721,0.0557,0.6475
6,recal,1000,0.6796,0.2326,0.0507,1.2839
6,finetune,1000,0.5284,0.0681,0.144,0.0153
6,local,1000,0.5824,0.1402,0.0567,0.3866
6,pooled,1000,0.7123,0.2759,0.0553,0.6868
7,source,0,0.6356,0.263,0.0519,0.4617
7,recal,50,0.3644,0.0588,0.0564,-14.9824
7,finetune,50,0.5184,0.0646,0.1974,0.0076
7,local,50,0.5204,0.0693,0.0575,0.0731
7,pooled,50,0.6898,0.2713,0.052,0.5652
7,recal,100,0.6356,0.263,0.0498,0.8334
7,finetune,100,0.5687,0.0827,0.1543,0.0384
7,local,100,0.6,0.1041,0.0574,0.2092
7,pooled,100,0.6134,0.2439,0.0527,0.4223
7,recal,200,0.6356,0.263,0.0495,1.0606
7,finetune,200,0.6161,0.105,0.119,0.0284
7,local,200,0.6729,0.2211,0.0575,0.4284
7,pooled,200,0.6877,0.2822,0.054,0.5266
7,recal,500,0.6356,0.263,0.0484,0.7979
7,finetune,500,0.5645,0.0762,0.1565,0.0299
7,local,500,0.6464,0.1598,0.0576,0.3803
7,pooled,500,0.6651,0.2613,0.053,0.47
