rep,strateji,n,auroc,prauc,brier,egim
4,pooled,400,0.6996,0.3844,0.1288,0.4675
5,source,0,0.6691,0.3386,0.1362,0.3806
5,recal,25,0.3309,0.1176,0.16,-0.7455
5,finetune,25,0.6339,0.231,0.1598,0.1989
5,local,25,0.5103,0.1837,0.1641,0.0345
5,pooled,25,0.6592,0.3293,0.137,0.3656
5,recal,50,0.6691,0.3386,0.1271,0.9572
5,finetune,50,0.6426,0.2833,0.149,0.2305
5,local,50,0.5884,0.2404,0.1466,0.2748
5,pooled,50,0.6584,0.3219,0.1382,0.3564
5,recal,100,0.6691,0.3386,0.1321,1.3166
5,finetune,100,0.6916,0.3279,0.1408,0.3459
5,local,100,0.6052,0.2197,0.1599,0.2816
5,pooled,100,0.6502,0.3059,0.1382,0.3439
5,recal,200,0.6691,0.3386,0.1283,0.6611
5,finetune,200,0.695,0.3339,0.1435,0.339
5,local,200,0.6753,0.3267,0.1578,0.3652
5,pooled,200,0.6735,0.3483,0.135,0.3922
5,recal,400,0.6691,0.3386,0.1268,0.9183
5,finetune,400,0.6458,0.2536,0.1675,0.0702
5,local,400,0.683,0.3856,0.1585,0.3696
5,pooled,400,0.6887,0.3573,0.1346,0.432
6,source,0,0.6672,0.3518,0.1347,0.3908
6,recal,25,0.6672,0.3518,0.1281,0.9086
6,finetune,25,0.6632,0.3542,0.1463,0.3341
6,local,25,0.5412,0.2,0.1644,0.1051
6,pooled,25,0.6754,0.3561,0.1323,0.397
6,recal,50,0.6672,0.3518,0.1299,0.6889
6,finetune,50,0.6552,0.3511,0.1408,0.288
6,local,50,0.584,0.2771,0.1528,0.1897
6,pooled,50,0.6524,0.3172,0.1392,0.3501
6,recal,100,0.6672,0.3518,0.1277,0.6894
6,finetune,100,0.6839,0.3351,0.1481,0.3128
6,local,100,0.6126,0.2406,0.1584,0.2566
6,pooled,100,0.6822,0.3555,0.1345,0.4284
6,recal,200,0.6672,0.3518,0.128,0.7448
6,finetune,200,0.6291,0.2633,0.1642,0.1312
6,local,200,0.6521,0.3304,0.159,0.3868
6,pooled,200,0.6805,0.3489,0.1344,0.4059
6,recal,400,0.6672,0.3518,0.1271,0.8616
6,finetune,400,0.6975,0.3414,0.141,0.2067
6,local,400,0.7053,0.3782,0.1529,0.3848
6,pooled,400,0.7049,0.4026,0.1301,0.4785
7,source,0,0.7214,0.4233,0.124,0.5059
7,recal,25,0.7214,0.4233,0.128,1.6835
7,finetune,25,0.7022,0.3854,0.137,0.283
7,local,25,0.5491,0.2728,0.1489,0.0927
7,pooled,25,0.6958,0.3917,0.127,0.447
7,recal,50,0.7214,0.4233,0.119,0.77
7,finetune,50,0.7001,0.3749,0.1371,0.3353
7,local,50,0.588,0.2042,0.1636,0.0969
7,pooled,50,0.7203,0.411,0.1267,0.4695
7,recal,100,0.7214,0.4233,0.12,1.276
7,finetune,100,0.7153,0.4182,0.137,0.3906
7,local,100,0.6402,0.2501,0.1608,0.2545
7,pooled,100,0.6962,0.3904,0.1262,0.4639
7,recal,200,0.7214,0.4233,0.1236,1.8798
7,finetune,200,0.7011,0.3343,0.1411,0.2623
7,local,200,0.6531,0.2527,0.1508,0.2945
7,pooled,200,0.726,0.4365,0.1227,0.534
7,recal,400,0.7214,0.4233,0.1217,1.573
7,finetune,400,0.7277,0.3511,0.1429,0.2867
7,local,400,0.6513,0.2744,0.1478,0.288
7,pooled,400,0.7401,0.4236,0.1229,0.5433
8,source,0,0.6194,0.3145,0.1387,0.3035
8,recal,25,0.6194,0.3145,0.1779,0.1216
8,finetune,25,0.6799,0.3448,0.1393,0.3128
8,local,25,0.6827,0.3399,0.1382,0.3879
8,pooled,25,0.6071,0.3198,0.1385,0.2834
8,recal,50,0.6194,0.3145,0.1319,0.6065
8,finetune,50,0.6387,0.2832,0.1525,0.1968
8,local,50,0.5038,0.1713,0.1647,0.0072
8,pooled,50,0.599,0.2827,0.1422,0.254
8,recal,100,0.6194,0.3145,0.1394,0.4433
8,finetune,100,0.6636,0.3555,0.1418,0.2743
8,local,100,0.6474,0.3204,0.1563,0.2914
8,pooled,100,0.6083,0.3335,0.138,0.2883
8,recal,200,0.6194,0.3145,0.1329,0.5339
8,finetune,200,0.6292,0.2785,0.1526,0.1753
8,local,200,0.6971,0.4126,0.1597,0.5414
8,pooled,200,0.63,0.3227,0.1381,0.324
8,recal,400,0.6194,0.3145,0.132,0.5915
8,finetune,400,0.6748,0.3473,0.1417,0.2851
8,local,400,0.7099,0.4008,0.1547,0.4262
8,pooled,400,0.6631,0.3368,0.139,0.3914
9,source,0,0.688,0.3765,0.1276,0.4294
9,recal,25,0.688,0.3765,0.1359,1.7415
9,finetune,25,0.6849,0.3612,0.1347,0.3046
9,local,25,0.5361,0.2142,0.1557,0.0933
9,pooled,25,0.7106,0.3806,0.1261,0.4889
9,recal,50,0.688,0.3765,0.1264,1.8569
9,finetune,50,0.6838,0.3236,0.1465,0.2263
9,local,50,0.5722,0.1988,0.1722,0.0635
9,pooled,50,0.706,0.3547,0.1306,0.4436
9,recal,100,0.688,0.3765,0.1269,1.7037
9,finetune,100,0.6725,0.3458,0.1675,0.1288
9,local,100,0.6509,0.2934,0.1503,0.2773
9,pooled,100,0.7034,0.4189,0.1228,0.4846
9,recal,200,0.688,0.3765,0.123,1.1278
9,finetune,200,0.6995,0.3486,0.1393,0.2761
9,local,200,0.6854,0.3464,0.1526,0.3504
9,pooled,200,0.7206,0.3822,0.1284,0.4812
9,recal,400,0.688,0.3765,0.1229,1.0916
9,finetune,400,0.6881,0.3576,0.1347,0.2536
9,local,400,0.6873,0.3788,0.1271,0.6092
9,pooled,400,0.7318,0.4207,0.1242,0.5229
