rep,strateji,n,auroc,prauc,brier,egim
7,local,300,0.5638,0.1657,0.053,0.3489
7,pooled,300,0.7153,0.236,0.0495,0.4644
8,source,0,0.7118,0.1437,0.057,0.3619
8,recal,50,0.7118,0.1437,0.0519,1.0503
8,finetune,50,0.6665,0.1006,0.0567,0.2255
8,local,50,0.5417,0.0683,0.0569,0.0378
8,pooled,50,0.6959,0.1946,0.0526,0.3927
8,recal,100,0.7118,0.1437,0.0544,0.5131
8,finetune,100,0.7135,0.1423,0.0563,0.3266
8,local,100,0.4704,0.0623,0.0569,-0.0495
8,pooled,100,0.6797,0.1748,0.0534,0.3588
8,recal,200,0.7118,0.1437,0.052,0.9692
8,finetune,200,0.6795,0.097,0.0775,0.071
8,local,200,0.5311,0.076,0.0569,0.0732
8,pooled,200,0.7196,0.174,0.0545,0.4326
8,recal,300,0.7118,0.1437,0.052,1.0786
8,finetune,300,0.6962,0.1424,0.0645,0.094
8,local,300,0.5391,0.1092,0.0569,0.1124
8,pooled,300,0.6767,0.1945,0.0536,0.4319
9,source,0,0.7414,0.164,0.0525,0.46
9,recal,50,0.7414,0.164,0.0496,2.2039
9,finetune,50,0.7649,0.2175,0.0528,0.4872
9,local,50,0.559,0.1015,0.0542,0.2299
9,pooled,50,0.7908,0.1887,0.0514,0.5532
9,recal,100,0.7414,0.164,0.0501,0.8528
9,finetune,100,0.7231,0.1543,0.0536,0.4133
9,local,100,0.6321,0.1271,0.0542,0.3092
9,pooled,100,0.7043,0.1694,0.0506,0.4363
9,recal,200,0.7414,0.164,0.0494,1.6193
9,finetune,200,0.6215,0.0798,0.105,-0.0027
9,local,200,0.6563,0.1081,0.0541,0.4106
9,pooled,200,0.7212,0.2179,0.0513,0.4323
9,recal,300,0.7414,0.164,0.0495,1.7111
9,finetune,300,0.7289,0.1262,0.0746,0.1042
9,local,300,0.6775,0.1927,0.0541,0.425
9,pooled,300,0.7616,0.2587,0.049,0.575
