rep,strateji,n,auroc,prauc,brier,egim
4,local,400,0.6908,0.5173,0.1437,0.6838
4,pooled,400,0.777,0.6148,0.1281,0.6588
5,source,0,0.8204,0.7074,0.1091,0.7573
5,recal,25,0.8204,0.7074,0.1181,0.4567
5,finetune,25,0.8217,0.6857,0.1335,0.5886
5,local,25,0.5796,0.2669,0.2148,0.1924
5,pooled,25,0.8076,0.6793,0.1141,0.7277
5,recal,50,0.8204,0.7074,0.1093,1.0374
5,finetune,50,0.8061,0.6754,0.1278,0.6243
5,local,50,0.5311,0.2463,0.1982,0.1135
5,pooled,50,0.8161,0.6885,0.113,0.7186
5,recal,100,0.8204,0.7074,0.1072,0.9554
5,finetune,100,0.8144,0.6905,0.1234,0.6289
5,local,100,0.6792,0.4289,0.1791,0.4806
5,pooled,100,0.8166,0.6996,0.1096,0.7502
5,recal,200,0.8204,0.7074,0.1075,0.9738
5,finetune,200,0.8324,0.7116,0.1214,0.6928
5,local,200,0.7208,0.4771,0.1854,0.4232
5,pooled,200,0.8258,0.7122,0.1064,0.7687
5,recal,400,0.8204,0.7074,0.1075,0.9907
5,finetune,400,0.8156,0.6961,0.1139,0.6367
5,local,400,0.7456,0.5498,0.1789,0.406
5,pooled,400,0.8358,0.7168,0.1061,0.7954
6,source,0,0.8466,0.7286,0.1035,0.924
6,recal,25,0.8466,0.7286,0.1087,0.9055
6,finetune,25,0.8223,0.6647,0.1286,0.5894
6,local,25,0.5657,0.2624,0.2067,0.0995
6,pooled,25,0.8303,0.6973,0.1103,0.8304
6,recal,50,0.8466,0.7286,0.1058,1.2088
6,finetune,50,0.8486,0.7069,0.1178,0.774
6,local,50,0.6081,0.3019,0.1727,0.4128
6,pooled,50,0.8506,0.7095,0.1092,0.8588
6,recal,100,0.8466,0.7286,0.1056,1.3831
6,finetune,100,0.7829,0.6415,0.1311,0.5063
6,local,100,0.5621,0.3035,0.1975,0.0717
6,pooled,100,0.8199,0.69,0.1119,0.8044
6,recal,200,0.8466,0.7286,0.1067,1.5466
6,finetune,200,0.8164,0.6745,0.1255,0.7052
6,local,200,0.6897,0.4606,0.1739,0.409
6,pooled,200,0.841,0.7241,0.1041,0.8893
6,recal,400,0.8466,0.7286,0.1066,1.5231
6,finetune,400,0.846,0.7264,0.1098,0.7995
6,local,400,0.7486,0.5968,0.1638,0.5302
6,pooled,400,0.8445,0.7111,0.1084,0.8692
7,source,0,0.777,0.6366,0.1233,0.6399
7,recal,25,0.777,0.6366,0.1218,0.7042
7,finetune,25,0.746,0.5887,0.1551,0.497
7,local,25,0.4475,0.1925,0.2147,-0.0974
7,pooled,25,0.7621,0.6224,0.1256,0.608
7,recal,50,0.777,0.6366,0.1222,0.6987
7,finetune,50,0.7698,0.6238,0.1408,0.5069
7,local,50,0.6438,0.338,0.1989,0.2009
7,pooled,50,0.778,0.6451,0.1197,0.6543
7,recal,100,0.777,0.6366,0.1325,0.4937
7,finetune,100,0.7755,0.6301,0.1297,0.5086
7,local,100,0.6543,0.438,0.1757,0.3426
7,pooled,100,0.7712,0.6399,0.1222,0.6309
7,recal,200,0.777,0.6366,0.1213,0.7433
7,finetune,200,0.7749,0.6178,0.1344,0.5679
7,local,200,0.724,0.5304,0.1681,0.4821
7,pooled,200,0.7834,0.649,0.1186,0.6755
7,recal,400,0.777,0.6366,0.1222,0.6652
7,finetune,400,0.7796,0.636,0.1269,0.5955
7,local,400,0.7167,0.5382,0.1408,0.7338
7,pooled,400,0.7872,0.6517,0.1183,0.6871
8,source,0,0.8322,0.7013,0.1102,0.7742
8,recal,25,0.8322,0.7013,0.1115,1.5935
8,finetune,25,0.7957,0.657,0.1256,0.578
8,local,25,0.5198,0.2141,0.2128,0.0145
8,pooled,25,0.8358,0.6919,0.1116,0.7838
8,recal,50,0.8322,0.7013,0.1083,1.3085
8,finetune,50,0.7901,0.6533,0.1251,0.5587
8,local,50,0.5794,0.277,0.2025,0.1417
8,pooled,50,0.8265,0.6824,0.1142,0.7411
8,recal,100,0.8322,0.7013,0.1094,0.8461
8,finetune,100,0.8217,0.6795,0.1281,0.6427
8,local,100,0.561,0.2544,0.205,0.1127
8,pooled,100,0.8318,0.6957,0.1101,0.7715
8,recal,200,0.8322,0.7013,0.1096,0.8579
8,finetune,200,0.8169,0.6891,0.1189,0.6093
8,local,200,0.6812,0.46,0.1595,0.5269
8,pooled,200,0.8257,0.6954,0.1106,0.7303
8,recal,400,0.8322,0.7013,0.1078,1.1211
8,finetune,400,0.8237,0.6893,0.1151,0.6539
