budget_n,comparison,n_transfers,mean_delta,median_delta,fraction_positive,fraction_zero,estimate,ci_low,ci_high,p_two_sided,n_clusters
20,selective_policy_v2 - always_random,20,0.002334489011581127,0.0,0.4,0.45,0.002334489011581127,0.000351678288578451,0.004832251616247541,0.0413,7
20,selective_policy_v2 - always_hybrid,20,0.0019633467914400085,0.0,0.4,0.55,0.0019633467914400085,1.4185910625511554e-05,0.0041109905316016795,0.0405,7
30,selective_policy_v2 - always_random,20,0.003653345140658899,0.0014897598575374094,0.55,0.45,0.003653345140658899,0.0008389813483244004,0.008286732448029419,0.0053,7
30,selective_policy_v2 - always_hybrid,20,0.0018682050458616525,0.0,0.3,0.55,0.0018682050458616525,-0.0028328508277059372,0.005276890341825629,0.6942,7
50,selective_policy_v2 - always_random,20,0.004222437689798834,3.468793883570909e-05,0.5,0.4,0.004222437689798834,0.0015487944196371207,0.01099301770568364,0.0003,7
50,selective_policy_v2 - always_hybrid,20,0.0022237144145571207,0.0,0.3,0.6,0.0022237144145571207,-0.0020772783919513482,0.005770811231116848,0.6852,7
