,E.coli-Cipr,E.coli-Ceft,K.pneum-Ceft,S.aureu-Oxac,P.aerug-Cipr
E.coli-Cipr,1.0,0.16764374508736743,0.09832476787009192,0.07603344979783638,0.07858443835337314
E.coli-Ceft,0.16764374508736743,1.0,0.08313478974983597,0.06729527829764798,0.05720626152716476
K.pneum-Ceft,0.09832476787009192,0.08313478974983597,1.0,0.033068147707158296,0.07025072092035463
S.aureu-Oxac,0.07603344979783637,0.06729527829764796,0.033068147707158296,1.0,0.03704859040187281
P.aerug-Cipr,0.07858443835337314,0.05720626152716476,0.07025072092035463,0.03704859040187281,1.0
