,E.coli-Cipr,E.coli-Ceft,K.pneum-Ceft,S.aureu-Oxac,P.aerug-Cipr
E.coli-Cipr,1.0,0.28205128205128205,0.041666666666666664,0.015228426395939087,0.015228426395939087
E.coli-Ceft,0.28205128205128205,1.0,0.11731843575418995,0.06382978723404255,0.030927835051546393
K.pneum-Ceft,0.041666666666666664,0.11731843575418995,1.0,0.030927835051546393,0.02040816326530612
S.aureu-Oxac,0.015228426395939087,0.06382978723404255,0.030927835051546393,1.0,0.041666666666666664
P.aerug-Cipr,0.015228426395939087,0.030927835051546393,0.02040816326530612,0.041666666666666664,1.0
