mz,E.coli-Cipr,E.coli-Ceft,K.pneum-Ceft,S.aureu-Oxac,P.aerug-Cipr
2000.0,0.00016561829418536994,0.0,0.00018483581442544153,0.0,3.536795992168918e-05
2003.0,0.000515785724468476,0.0066548789562824165,0.008311765417082596,0.00025255140852442984,0.0
2006.0,0.0003750768196303788,0.004112996731559465,0.0027363489010128876,0.0,0.00015401693259157914
2009.0,0.00014053852031404101,0.00027524235455173875,1.0182954885076263e-05,0.0004970332686475658,0.00031554557675028303
2012.0,0.00036620627862814307,0.0002675465180122211,0.00011122471521616242,0.0003886864303174362,0.00013862534078110662
2015.0,1.6806380360668795e-05,0.0001922412553006758,0.00016958214430620237,0.0,0.0
2018.0,5.023514101629719e-07,1.2381172280807559e-05,0.0003360694186369221,0.0,0.00013971081357667999
2021.0,2.9918158264300883e-05,0.006522848923605074,0.0005464541556693865,0.00012774594939767473,0.0002710801924230426
2024.0,0.0005262800446480645,0.011119263253707802,0.0044830031729279326,3.211202509193993e-05,0.0011950940787235059
2027.0,0.00014938799225094554,4.186299371028958e-05,0.0003877503692883262,7.787748640335546e-05,0.0
2030.0,8.361396999356416e-05,0.0,0.00013831437702146828,0.0,8.481357022479176e-06
2033.0,0.0004665110064687315,0.0014308778563546089,0.0005411712486764428,0.004723446641046986,0.0
2036.0,0.00039224229915439863,0.0003281471689837769,0.00012762724587800668,0.0020007281233271543,0.0016526159503925907
2039.0,0.0006228182687415268,0.008178728136525383,2.9919095208663672e-05,0.0,0.0003808527415514558
2042.0,8.649963853829205e-05,0.0,2.9351289533105245e-05,0.0027953247749654365,0.0
2045.0,0.00010261491202514951,0.0016772886991891004,1.0713950381305875e-06,0.000377184756784568,0.0005843944113755452
2048.0,0.0016478034293738997,0.004114370334617794,0.000424134852662956,0.0006820979916731362,0.0005861444812024195
2051.0,0.00014429990745114328,0.00017770899610298257,1.8405221840813024e-05,7.389860774261073e-05,0.0
2054.0,9.01446919806249e-06,0.007786343609471725,0.004606072790339087,2.8859538995809044e-05,0.0008473042407261687
2057.0,0.0006257161023287676,0.0001616277144319415,1.3686952951675951e-05,0.0005190064913819428,0.0
2060.0,0.00016396557573342897,0.00030054137083606334,9.487967687867602e-05,0.00026681289984001224,0.0010326648997150026
2063.0,0.00035413053711945273,0.0029168673473080327,0.0002516164186651543,0.016161532591651144,0.00370987339497146
2066.0,0.0015609086564555084,0.011390430818297229,0.0006577653473584924,0.027218940351644964,0.011248985189077933
2069.0,0.0002357545238188325,0.0028845334272581853,0.0017952075302671588,0.0020994735119723874,0.00029941310728171075
2072.0,1.5917697122795753e-06,0.0,2.6480064845336502e-05,0.0,0.0
2075.0,0.00031525575995226075,0.0003609700351073984,0.00022557146411673524,0.0,0.0
