method,dim,lam,conf,n_conf_target,auroc,prauc,brier,slope,n,positives,prevalence,k,rho
jda_conf,10.0,0.1,0.7,738.0,0.39816985687790885,0.04667992138632628,0.07098158448934555,1.3274743556976318,738,41,0.05555555555555555,,
jda_conf,10.0,0.1,0.8,578.0,0.5031668824579207,0.05835601817378863,0.07105661183595657,1.3265702724456787,738,41,0.05555555555555555,,
jda_conf,10.0,0.1,0.9,0.0,0.440704062707772,0.049929914216750276,0.07112263888120651,-2.272752285003662,738,41,0.05555555555555555,,
jda_conf,10.0,1.0,0.7,738.0,0.40233404486125207,0.04727342479143397,0.07098161429166794,1.3274729251861572,738,41,0.05555555555555555,,
jda_conf,10.0,1.0,0.8,579.0,0.5070511250306191,0.05905956688535258,0.07104836404323578,1.326871395111084,738,41,0.05555555555555555,,
jda_conf,10.0,1.0,0.9,0.0,0.440704062707772,0.049929914216750276,0.07112263888120651,-2.2726433277130127,738,41,0.05555555555555555,,
jda_conf,30.0,0.1,0.7,738.0,0.472372887286979,0.05121739107233738,0.07098159939050674,1.3274743556976318,738,41,0.05555555555555555,,
jda_conf,30.0,0.1,0.8,491.0,0.5190887776883508,0.06602596230727431,0.0710659921169281,1.326711654663086,738,41,0.05555555555555555,,
jda_conf,30.0,0.1,0.9,0.0,0.5576162648283585,0.06321103314388894,0.07114312797784805,1.3288612365722656,738,41,0.05555555555555555,,
jda_conf,30.0,1.0,0.7,738.0,0.47111313293907686,0.05055517160102333,0.07098159939050674,1.3274730443954468,738,41,0.05555555555555555,,
jda_conf,30.0,1.0,0.8,489.0,0.5217482590894776,0.0663231908366152,0.07106172293424606,1.3268827199935913,738,41,0.05555555555555555,,
jda_conf,30.0,1.0,0.9,0.0,0.5576162648283586,0.06321103314388894,0.07114314287900925,1.3288613557815552,738,41,0.05555555555555555,,
top_projection,,,,,0.6641704867550827,0.11771249416883292,0.2865080237388611,0.16262474656105042,738,41,0.05555555555555555,1.0,0.25
top_projection,,,,,0.6639255345207684,0.11755544635686999,0.2865571081638336,0.16275157034397125,738,41,0.05555555555555555,1.0,0.5
top_projection,,,,,0.6627707597018582,0.11776431691060929,0.2866370677947998,0.16294778883457184,738,41,0.05555555555555555,1.0,0.75
top_projection,,,,,0.651677922805053,0.1164395249013202,0.27980726957321167,0.15939494967460632,738,41,0.05555555555555555,1.0,1.0
top_projection,,,,,0.6639955208734297,0.11767228190802863,0.2861579954624176,0.1627318561077118,738,41,0.05555555555555555,2.0,0.25
top_projection,,,,,0.6641005004024215,0.11770415749257992,0.28466570377349854,0.1631348729133606,738,41,0.05555555555555555,2.0,0.5
top_projection,,,,,0.6630856982888336,0.11913865981885305,0.276827335357666,0.1649191826581955,738,41,0.05555555555555555,2.0,0.75
top_projection,,,,,0.645029219302236,0.11876248356277283,0.23921401798725128,0.1592550426721573,738,41,0.05555555555555555,2.0,1.0
top_projection,,,,,0.6643804458130664,0.11776814006747446,0.28546276688575745,0.16325974464416504,738,41,0.05555555555555555,5.0,0.25
top_projection,,,,,0.6658151660426217,0.11945596458495854,0.28180554509162903,0.16602161526679993,738,41,0.05555555555555555,5.0,0.5
top_projection,,,,,0.6682646883857648,0.12423760033851627,0.27147650718688965,0.17334747314453125,738,41,0.05555555555555555,5.0,0.75
top_projection,,,,,0.685726283374742,0.14700889948574025,0.15325318276882172,0.20822757482528687,738,41,0.05555555555555555,5.0,1.0
top_projection,,,,,0.6644854253420583,0.1184521906024601,0.2850911319255829,0.16378487646579742,738,41,0.05555555555555555,10.0,0.25
top_projection,,,,,0.6656751933372992,0.11972565797733603,0.2838769853115082,0.1658564954996109,738,41,0.05555555555555555,10.0,0.5
top_projection,,,,,0.6701543199076181,0.12404432575784657,0.27416694164276123,0.1787639558315277,738,41,0.05555555555555555,10.0,0.75
top_projection,,,,,0.6708541834342303,0.14697068444152475,0.14984537661075592,0.23533108830451965,738,41,0.05555555555555555,10.0,1.0
top_projection,,,,,0.664695384400042,0.11883395245676259,0.2853725254535675,0.1634083241224289,738,41,0.05555555555555555,20.0,0.25
top_projection,,,,,0.6656751933372992,0.12135286785982602,0.281412810087204,0.16754597425460815,738,41,0.05555555555555555,20.0,0.5
top_projection,,,,,0.6700843335549568,0.12751714554721852,0.2684847414493561,0.1854211539030075,738,41,0.05555555555555555,20.0,0.75
top_projection,,,,,0.6771179619974106,0.2485730270956962,0.09356441348791122,0.3392016291618347,738,41,0.05555555555555555,20.0,1.0
