rep,strateji,n,auroc,prauc,brier,egim
5,finetune,500,0.7419,0.4853,0.0715,0.4746
5,local,500,0.6521,0.2734,0.0931,0.4155
5,pooled,500,0.77,0.5387,0.0689,0.7208
6,source,0,0.7784,0.4621,0.0739,0.7327
6,recal,25,0.7784,0.4621,0.0919,1.8725
6,finetune,25,0.724,0.3696,0.0799,0.4109
6,local,25,0.5315,0.1101,0.1183,0.0397
6,pooled,25,0.7652,0.4732,0.0725,0.7392
6,recal,50,0.7784,0.4621,0.078,2.5714
6,finetune,50,0.7316,0.4254,0.0837,0.526
6,local,50,0.4494,0.0894,0.0992,-0.1478
6,pooled,50,0.7793,0.4769,0.0744,0.7569
6,recal,100,0.7784,0.4621,0.072,0.6621
6,finetune,100,0.7583,0.4365,0.0861,0.5643
6,local,100,0.5494,0.1321,0.0991,0.1517
6,pooled,100,0.7556,0.4609,0.0744,0.6649
6,recal,200,0.7784,0.4621,0.0745,1.8387
6,finetune,200,0.7432,0.3817,0.0826,0.391
6,local,200,0.701,0.2576,0.0983,0.4132
6,pooled,200,0.7837,0.5283,0.0724,0.7651
6,recal,500,0.7784,0.4621,0.0704,1.13
6,finetune,500,0.7427,0.3013,0.0888,0.2143
6,local,500,0.7044,0.2921,0.0912,0.4539
6,pooled,500,0.7726,0.5085,0.0726,0.7239
7,source,0,0.7481,0.4377,0.0761,0.6593
7,recal,25,0.7481,0.4377,0.0763,0.3776
7,finetune,25,0.7555,0.4662,0.0883,0.6182
7,local,25,0.6457,0.2364,0.0983,0.3904
7,pooled,25,0.7589,0.4579,0.0761,0.7042
7,recal,50,0.7481,0.4377,0.0778,0.6542
7,finetune,50,0.7489,0.4391,0.0844,0.5143
7,local,50,0.6068,0.1355,0.099,0.2307
7,pooled,50,0.763,0.4504,0.0766,0.6822
7,recal,100,0.7481,0.4377,0.0725,0.9393
7,finetune,100,0.712,0.3581,0.092,0.4437
7,local,100,0.5075,0.1142,0.0992,0.0335
7,pooled,100,0.762,0.4628,0.0764,0.7302
